system:index,landcover,nir,red,swir1,swir2,.geo
00000000000000000295,1,0.0474,0.16002000000000002,0.008119999999999999,0.0076500000000000005,"{""type"":""Point"",""coordinates"":[123.09906291579134,14.087423921300998]}"
000000000000000002ad,1,0.0348,0.15696000000000002,0.0084,0.0085,"{""type"":""Point"",""coordinates"":[123.09897373377026,14.086166454803928]}"
00000000000000000275,1,0.0447,0.15777000000000002,0.00938,0.00867,"{""type"":""Point"",""coordinates"":[123.09924127983348,14.08760674444419]}"
00000000000000000288,1,0.033749999999999995,0.1602,0.00994,0.00901,"{""type"":""Point"",""coordinates"":[123.09942410297666,14.086166454803928]}"
00000000000000000296,1,0.04582499999999999,0.17019,0.00938,0.00901,"{""type"":""Point"",""coordinates"":[123.09852336456387,14.087606744444187]}"
000000000000000002af,1,0.051524999999999994,0.15462,0.00819,0.00901,"{""type"":""Point"",""coordinates"":[123.09978083106094,14.087963472528465]}"
000000000000000002b8,1,0.051524999999999994,0.15462,0.00819,0.00901,"{""type"":""Point"",""coordinates"":[123.09978083106094,14.087963472528465]}"
00000000000000000263,1,0.0513,0.16596000000000002,0.00784,0.00918,"{""type"":""Point"",""coordinates"":[123.09897373377026,14.087513103322069]}"
00000000000000000268,1,0.046275,0.14967000000000003,0.008119999999999999,0.00918,"{""type"":""Point"",""coordinates"":[123.09978083106094,14.087334739279928]}"
0000000000000000027c,1,0.03405,0.15588000000000002,0.009659999999999998,0.00918,"{""type"":""Point"",""coordinates"":[123.09897373377026,14.086255636824996]}"
0000000000000000027e,1,0.04065,0.16740000000000002,0.01232,0.00918,"{""type"":""Point"",""coordinates"":[123.09771626727319,14.08598809076179]}"
0000000000000000028f,1,0.04844999999999999,0.16938000000000003,0.0098,0.00918,"{""type"":""Point"",""coordinates"":[123.0991520978124,14.087695926465258]}"
00000000000000000264,1,0.03855,0.17262,0.009519999999999999,0.009265,"{""type"":""Point"",""coordinates"":[123.09807299535747,14.087067193216722]}"
0000000000000000029b,1,0.03855,0.16974,0.009519999999999999,0.009265,"{""type"":""Point"",""coordinates"":[123.0981666364796,14.086978011195654]}"
000000000000000002b5,1,0.03315,0.17838,0.010079999999999999,0.00935,"{""type"":""Point"",""coordinates"":[123.09771626727319,14.085537721555392]}"
0000000000000000026e,1,0.05445,0.16776000000000002,0.007699999999999999,0.00952,"{""type"":""Point"",""coordinates"":[123.09879536972812,14.087513103322069]}"
000000000000000002a6,1,0.033299999999999996,0.15678,0.011059999999999999,0.00952,"{""type"":""Point"",""coordinates"":[123.0976270852521,14.085720544698582]}"
00000000000000000287,1,0.0402,0.1503,0.00945,0.009605,"{""type"":""Point"",""coordinates"":[123.09951328499774,14.08697801119565]}"
00000000000000000260,1,0.033299999999999996,0.1593,0.009519999999999999,0.00969,"{""type"":""Point"",""coordinates"":[123.09924127983348,14.085720544698582]}"
00000000000000000286,1,0.03525,0.1575,0.01022,0.00969,"{""type"":""Point"",""coordinates"":[123.09924127983348,14.085359357513255]}"
00000000000000000291,1,0.03285,0.16074000000000002,0.009519999999999999,0.00969,"{""type"":""Point"",""coordinates"":[123.09933046185452,14.085537721555392]}"
000000000000000002a7,1,0.04485,0.15399000000000002,0.00903,0.00969,"{""type"":""Point"",""coordinates"":[123.09933046185452,14.087695926465258]}"
000000000000000002a9,1,0.037649999999999996,0.17172,0.009659999999999998,0.00969,"{""type"":""Point"",""coordinates"":[123.09933046185452,14.085809726719651]}"
000000000000000002ab,1,0.037649999999999996,0.17172,0.009659999999999998,0.00969,"{""type"":""Point"",""coordinates"":[123.09933046185452,14.085809726719651]}"
00000000000000000274,1,0.045825,0.15489000000000003,0.010079999999999999,0.009775,"{""type"":""Point"",""coordinates"":[123.09951328499774,14.08715637523779]}"
0000000000000000026f,1,0.0624,0.1647,0.00826,0.00986,"{""type"":""Point"",""coordinates"":[123.09924127983348,14.087245557258862]}"
00000000000000000279,1,0.042749999999999996,0.16848000000000002,0.00924,0.00986,"{""type"":""Point"",""coordinates"":[123.09834500052173,14.086166454803928]}"
00000000000000000271,1,0.06104999999999999,0.20034000000000002,0.011619999999999998,0.01003,"{""type"":""Point"",""coordinates"":[123.09771626727319,14.088141836570601]}"
00000000000000000277,1,0.054224999999999995,0.17613,0.009519999999999999,0.01003,"{""type"":""Point"",""coordinates"":[123.09906291579134,14.087874290507395]}"
0000000000000000027a,1,0.06104999999999999,0.1953,0.011619999999999998,0.01003,"{""type"":""Point"",""coordinates"":[123.09771626727319,14.088052654549536]}"
00000000000000000281,1,0.046275,0.15039000000000002,0.00987,0.01003,"{""type"":""Point"",""coordinates"":[123.10023120026734,14.08715637523779]}"
0000000000000000028e,1,0.031049999999999998,0.18180000000000002,0.00882,0.01003,"{""type"":""Point"",""coordinates"":[123.098701728606,14.085809726719651]}"
0000000000000000029c,1,0.0441,0.16803,0.009309999999999999,0.010115,"{""type"":""Point"",""coordinates"":[123.09995919510308,14.086616824010324]}"
00000000000000000272,1,0.06225,0.17127,0.01015,0.010285,"{""type"":""Point"",""coordinates"":[123.09744426210892,14.087334739279932]}"
000000000000000002b9,1,0.06225,0.17973,0.01015,0.010285,"{""type"":""Point"",""coordinates"":[123.09744426210892,14.087423921300998]}"
0000000000000000027b,1,0.0363,0.18459,0.012669999999999999,0.01037,"{""type"":""Point"",""coordinates"":[123.0972658980668,14.085720544698582]}"
000000000000000002a3,1,0.0384,0.1395,0.01078,0.01037,"{""type"":""Point"",""coordinates"":[123.09987001308203,14.085809726719651]}"
00000000000000000290,1,0.033975,0.1872,0.01295,0.010455,"{""type"":""Point"",""coordinates"":[123.09735508008787,14.085720544698582]}"
0000000000000000029d,1,0.044774999999999995,0.15597,0.009519999999999999,0.010455,"{""type"":""Point"",""coordinates"":[123.09995919510308,14.087067193216722]}"
0000000000000000026c,1,0.037349999999999994,0.16866,0.011479999999999999,0.01054,"{""type"":""Point"",""coordinates"":[123.09924127983348,14.086438459968187]}"
00000000000000000284,1,0.04425,0.1368,0.01078,0.01054,"{""type"":""Point"",""coordinates"":[123.10014201824626,14.086438459968187]}"
0000000000000000025c,1,0.045599999999999995,0.14579999999999999,0.00917,0.010625,"{""type"":""Point"",""coordinates"":[123.10005283622517,14.087423921300998]}"
0000000000000000029e,1,0.04897499999999999,0.15084,0.010289999999999999,0.010625,"{""type"":""Point"",""coordinates"":[123.10032038228839,14.087067193216722]}"
0000000000000000028b,1,0.041699999999999994,0.17154,0.01078,0.01071,"{""type"":""Point"",""coordinates"":[123.0981666364796,14.086527641989257]}"
000000000000000002aa,1,0.039749999999999994,0.17406000000000002,0.01022,0.01071,"{""type"":""Point"",""coordinates"":[123.09780544929426,14.086255636825]}"
000000000000000002b7,1,0.038099999999999995,0.1935,0.010709999999999999,0.01071,"{""type"":""Point"",""coordinates"":[123.09753790323106,14.086438459968187]}"
0000000000000000029f,1,0.040499999999999994,0.1935,0.01302,0.01088,"{""type"":""Point"",""coordinates"":[123.09654798279719,14.086166454803925]}"
000000000000000002a2,1,0.07042499999999999,0.19512000000000002,0.01015,0.01088,"{""type"":""Point"",""coordinates"":[123.09708753402465,14.087513103322069]}"
000000000000000002bb,1,0.0525,0.17424,0.01036,0.01088,"{""type"":""Point"",""coordinates"":[123.09735508008787,14.086978011195654]}"
