system:index,landcover,nir,red,swir1,swir2,.geo
00000000000000000541,1,0.375675,0.08676,0.1134,0.052275,"{""type"":""Point"",""coordinates"":[107.3679474596744,21.21394138851399]}"
00000000000000000747,1,0.4570499999999999,0.03987,0.11781,0.052275,"{""type"":""Point"",""coordinates"":[98.63128873397157,11.970367595954391]}"
00000000000000001786,1,0.457125,0.04968,0.0986999999999999,0.052275,"{""type"":""Point"",""coordinates"":[40.39997725904291,-10.448529915625954]}"
000000000000000017ae,1,0.4594499999999999,0.04689,0.10241,0.052275,"{""type"":""Point"",""coordinates"":[40.399620530958636,-10.448079546419557]}"
000000000000000019b6,1,0.4660499999999999,0.03825,0.1164099999999999,0.052275,"{""type"":""Point"",""coordinates"":[39.32011229782888,-7.866951197137676]}"
00000000000000001b81,1,0.462375,0.04707,0.0964599999999999,0.052275,"{""type"":""Point"",""coordinates"":[41.133811519408496,-2.1259076409376965]}"
00000000000000002395,1,0.3320249999999999,0.03834,0.1175999999999999,0.052275,"{""type"":""Point"",""coordinates"":[-46.365242252614365,-23.89154684818822]}"
0000000000000000202c,1,0.3291187499999999,0.0376499999999999,0.0986063076923076,0.05228,"{""type"":""Point"",""coordinates"":[151.3323026866882,-33.478101316475716]}"
0000000000000000012c,1,0.4502124999999999,0.04527,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.9764302527811,16.22325752118367]}"
00000000000000000136,1,0.4502124999999999,0.04527,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.9764302527811,16.22325752118367]}"
00000000000000000145,1,0.4502124999999999,0.04527,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.9764302527811,16.22325752118367]}"
0000000000000000014a,1,0.4502124999999999,0.04506,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.97634107076004,16.22325752118367]}"
0000000000000000014e,1,0.4502124999999999,0.04527,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.9764302527811,16.22325752118367]}"
00000000000000000153,1,0.4502124999999999,0.04842,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.97634107076004,16.22335116230579]}"
0000000000000000016d,1,0.4502124999999999,0.04527,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.9764302527811,16.22325752118367]}"
0000000000000000018e,1,0.4502124999999999,0.04842,0.1084999999999999,0.0523175,"{""type"":""Point"",""coordinates"":[119.97634107076004,16.22335116230579]}"
00000000000000000505,1,0.3082499999999999,0.11106,0.0965999999999999,0.05236,"{""type"":""Point"",""coordinates"":[107.39300760759475,21.212233552810517]}"
0000000000000000181d,1,0.4310249999999999,0.04797,0.0932399999999999,0.05236,"{""type"":""Point"",""coordinates"":[40.39979889500078,-10.419871273155458]}"
00000000000000001ae1,1,0.496575,0.03672,0.1093399999999999,0.05236,"{""type"":""Point"",""coordinates"":[39.319844751765665,-7.762835646640769]}"
00000000000000001ae6,1,0.4238999999999999,0.036,0.0978599999999999,0.05236,"{""type"":""Point"",""coordinates"":[39.31858728526859,-7.761578180143699]}"
000000000000000021df,1,0.2765999999999999,0.03924,0.1028999999999999,0.05236,"{""type"":""Point"",""coordinates"":[-48.03287470098627,-25.12187971534974]}"
0000000000000000236e,1,0.3444,0.03582,0.1163399999999999,0.05236,"{""type"":""Point"",""coordinates"":[-46.45336746673362,-23.91203195842775]}"
0000000000000000239d,1,0.31245,0.03654,0.1114399999999999,0.05236,"{""type"":""Point"",""coordinates"":[-46.36739599842318,-23.891368484146085]}"
00000000000000002767,1,0.3863249999999999,0.05769,0.1174599999999999,0.05236,"{""type"":""Point"",""coordinates"":[-50.02713184242204,1.7256185984709136]}"
000000000000000018a8,1,0.4894,0.03933,0.10794,0.0524025,"{""type"":""Point"",""coordinates"":[39.94399404441859,-10.10609325022658]}"
00000000000000002391,1,0.3260999999999999,0.03546,0.11431,0.052445,"{""type"":""Point"",""coordinates"":[-46.367306816402106,-23.888046453861268]}"
0000000000000000010c,1,0.5198999999999999,0.03834,0.1189533333333333,0.0524875,"{""type"":""Point"",""coordinates"":[119.96493023116426,16.231524694536752]}"
0000000000000000010d,1,0.5198999999999999,0.03771,0.1189533333333333,0.0524875,"{""type"":""Point"",""coordinates"":[119.96484104914319,16.231524694536752]}"
000000000000000013c9,1,0.5102249999999999,0.06462,0.12131,0.05253,"{""type"":""Point"",""coordinates"":[13.19162619247215,-9.245865770501066]}"
000000000000000001f4,1,0.4901999999999999,0.0423,0.1136799999999999,0.05253,"{""type"":""Point"",""coordinates"":[123.02647766884334,14.106018372693866]}"
00000000000000000243,1,0.3764999999999999,0.05238,0.10948,0.05253,"{""type"":""Point"",""coordinates"":[123.02549220751052,14.107904572439478]}"
000000000000000003c3,1,0.35445,0.09234,0.1056999999999999,0.05253,"{""type"":""Point"",""coordinates"":[107.3964232790017,21.20576339718197]}"
00000000000000001860,1,0.3976499999999999,0.04626,0.10024,0.05253,"{""type"":""Point"",""coordinates"":[40.38749177609326,-10.42176193200212]}"
00000000000000001aef,1,0.4711499999999999,0.03564,0.1093399999999999,0.05253,"{""type"":""Point"",""coordinates"":[39.32379551529902,-7.764543482344237]}"
00000000000000001bce,1,0.476025,0.04392,0.0982099999999999,0.05253,"{""type"":""Point"",""coordinates"":[41.16543100497848,-2.102372505577609]}"
