system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
1_1_1_1_1_0_0,0.0483,0.07390000000000001,1,0.29350000000000004,0.0455,0.10490000000000001,0.043500000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.06342100809253,21.534638569734202]}"
1_1_1_1_1_1_0,0.0221,0.0487,1,0.2551,0.0381,0.0896,0.039400000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.16286451004456,21.572098317081988]}"
1_1_1_1_1_2_0,0.04995000000000001,0.06725,1,0.2754,0.0466,0.08745,0.03715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.18011216349966,21.582339111320948]}"
1_1_1_1_1_3_0,0.057150000000000006,0.07780000000000001,1,0.2662,0.06340000000000001,0.10545000000000002,0.0498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.18631053896007,21.598239291849865]}"
1_1_1_1_1_4_0,0.0582,0.0762,1,0.25655,0.0512,0.0956,0.046150000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.20921757870512,21.60174272145793]}"
1_1_1_1_1_5_0,0.04530000000000001,0.06705,1,0.31245,0.042050000000000004,0.10425000000000001,0.04315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.23104664010923,21.615217450719722]}"
1_1_1_1_1_6_0,0.06365000000000001,0.07555,1,0.21555000000000002,0.0614,0.10260000000000001,0.05310000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.24640783146768,21.613869977793545]}"
1_1_1_1_1_7_0,0.051300000000000005,0.0699,1,0.2417,0.0517,0.0763,0.035500000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.2660809361899,21.59069344346326]}"
1_1_1_1_1_8_0,0.0582,0.0825,1,0.3239,0.0507,0.11380000000000001,0.0458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.37307028652853,21.635968533782886]}"
1_1_1_1_1_9_0,0.03275,0.05365,1,0.27865,0.0329,0.07970000000000001,0.02695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3345325608398,21.66157051938029]}"
1_1_1_1_1_10_0,0.0402,0.059300000000000005,1,0.2662,0.0376,0.0838,0.033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.38304158618226,21.64917376845944]}"
1_1_1_1_1_11_0,0.0388,0.057600000000000005,1,0.14930000000000002,0.0351,0.048100000000000004,0.0206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.45149321083215,21.666151927329302]}"
1_1_1_1_1_12_0,0.0497,0.0684,1,0.26940000000000003,0.048,0.10830000000000001,0.051399999999999994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.58300656842725,21.745113840803405]}"
1_1_1_1_1_13_0,0.0693,0.0893,1,0.132,0.0844,0.0818,0.0461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.50027173075985,21.844557342755436]}"
1_1_1_1_1_14_0,0.04965,0.06855,1,0.2399,0.06255,0.19569999999999999,0.1132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.57950313881919,21.84240138607355]}"
1_1_1_1_1_15_0,0.051500000000000004,0.0717,1,0.2645,0.0529,0.08170000000000001,0.0395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.69808075632297,21.70846257721133]}"
1_1_1_1_1_16_0,0.03855,0.05935,1,0.2684,0.0385,0.0767,0.030750000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.8630114424873,21.774219256008877]}"
1_1_1_1_1_17_0,0.048,0.0674,1,0.3052,0.06659999999999999,0.2182,0.1283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.85277064824835,21.71304398516034]}"
1_1_1_1_1_18_0,0.05,0.0728,1,0.3012,0.0504,0.10060000000000001,0.0455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.83094158684425,21.693640375023357]}"
1_1_1_1_1_19_0,0.0413,0.0655,1,0.28090000000000004,0.0454,0.09630000000000001,0.043000000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.81126848212203,21.628961674566753]}"
1_1_1_1_1_20_0,0.056900000000000006,0.0819,1,0.2721,0.0636,0.0855,0.0374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.8576215507826,21.622763299106328]}"
1_1_1_1_1_21_0,0.03355,0.05550000000000001,1,0.34090000000000004,0.03305,0.0873,0.03445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.88834393349948,21.651599219726563]}"
1_1_1_1_1_22_0,0.0387,0.06205000000000001,1,0.29795000000000005,0.038849999999999996,0.07445,0.030150000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.87918111760146,21.658067089772224]}"
1_1_1_1_1_23_0,0.058300000000000005,0.07985,1,0.31900000000000006,0.04995,0.09505,0.037450000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.02093526943553,21.60551564565123]}"
1_1_1_1_1_24_0,0.07649999999999998,0.09240000000000001,1,0.2696,0.0669,0.0869,0.0383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.06836631643704,21.59392737848609]}"
1_1_1_1_1_25_0,0.0762,0.0902,1,0.2685,0.0683,0.1029,0.041100000000000005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.09235133452303,21.5737152845934]}"
