system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
1_1_1_1_1_0_0,0.0241,0.051800000000000006,1,0.25780000000000003,0.030000000000000002,0.0901,0.0393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.06342100809253,21.534638569734202]}"
1_1_1_1_1_1_0,0.025100000000000004,0.04895000000000001,1,0.23170000000000002,0.03365,0.0693,0.02825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.16286451004456,21.572098317081988]}"
1_1_1_1_1_2_0,0.022,0.05,1,0.2553,0.02605,0.06875,0.0268,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.18011216349966,21.582339111320948]}"
1_1_1_1_1_3_0,0.0259,0.05095,1,0.29585000000000006,0.027000000000000003,0.0728,0.025800000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.18631053896007,21.598239291849865]}"
1_1_1_1_1_4_0,0.020800000000000003,0.0456,1,0.3004,0.0241,0.0748,0.0298,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.20921757870512,21.60174272145793]}"
1_1_1_1_1_5_0,0.0236,0.0441,1,0.3316,0.022500000000000003,0.0848,0.028800000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.23104664010923,21.615217450719722]}"
1_1_1_1_1_6_0,0.0362,0.05865000000000001,1,0.17455,0.04190000000000001,0.08155000000000001,0.041550000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.24640783146768,21.613869977793545]}"
1_1_1_1_1_7_0,0.0219,0.049100000000000005,1,0.2864,0.0268,0.07780000000000001,0.0302,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.2660809361899,21.59069344346326]}"
1_1_1_1_1_8_0,0.031200000000000002,0.055600000000000004,1,0.2561,0.0347,0.0816,0.029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.37307028652853,21.635968533782886]}"
1_1_1_1_1_9_0,0.023200000000000002,0.054200000000000005,1,0.29500000000000004,0.0291,0.0756,0.0285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3345325608398,21.66157051938029]}"
1_1_1_1_1_10_0,0.0448,0.06035,1,0.2597,0.0393,0.07175000000000001,0.0305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.38304158618226,21.64917376845944]}"
