,mangrove,vegetation,plough,paddyfield,water,architecture
0,0.0483,0.0332999999999999,0.0577,0.0416,0.07315,0.0566
1,0.0221,0.0253,0.06865,0.0689,0.0717,0.0354
2,0.04995,0.0485,0.07715,0.0823,0.07915,0.0543
3,0.05715,0.0251,0.0535,0.1103,0.084,0.0943
4,0.0582,0.029,0.0705,0.0505,0.13,0.0675
5,0.0453,0.0273,0.0764,0.0424,0.0577,0.20415
6,0.06365,0.0391,0.0594,0.0437,0.05765,0.33956
7,0.0513,0.02735,0.0636,0.054,0.12475,0.0779
8,0.0582,0.1425,0.0871,0.0571,0.09035,0.1438
9,0.03275,0.0303,0.05275,0.0642,0.08725,0.0269
10,0.0402,0.0287,0.0662,0.0439,0.0712,0.1211
11,0.0388,0.0601,0.0524,0.0749,0.0771,0.0806
12,0.0497,0.0359,0.06055,0.056,0.1215,0.4774
13,0.0693,0.07145,0.06185,0.0754,0.11,0.0413
14,0.04965,0.0385,0.0646,0.11105,0.1114,0.033
15,0.0515,0.03395,0.07675,0.09895,0.1096,0.1518
16,0.03855,0.02565,0.0421,0.07575,0.1136,0.0338
17,0.048,0.0373,0.0861,0.07725,0.1151,0.1036
18,0.05,0.0386,0.0556,0.10185,0.1147,0.1476
19,0.0413,0.029,0.0761,0.0485,0.0751,0.2492800000000001
20,0.0569,0.0232,0.05305,0.0541,0.1056,0.1897
21,0.03355,0.0385,0.0672,0.0529,0.10125,0.0513999999999999
22,0.0387,0.01855,0.05245,0.0686,0.11215,0.0782
23,0.0583,0.038,0.0462,0.04065,0.0910499999999999,0.0777
24,0.0764999999999999,0.0774,0.0472,0.05505,0.09705,0.1582
25,0.0762,0.02425,0.092,0.052,0.0949,0.0811
26,0.0747,0.0704,0.0548,0.0419,0.1063,0.055
27,0.0854,0.0309,0.0662,0.0715,0.096,0.0893
28,0.0812,0.0277,0.0478,0.03925,0.09165,0.18754
29,0.0696,0.0184,0.07905,0.03415,0.08925,0.0643
30,0.0705,0.0259,0.0471,0.09195,0.0920499999999999,0.071
31,0.0943,0.04525,0.0484,0.061,0.0791,0.0454
32,0.093,0.0413,0.0523,0.06895,0.0801,0.1195
33,0.0493,0.01315,0.049,0.04075,0.0673,0.1183
34,0.05385,0.0337,0.0526,0.0188,0.07035,0.0665999999999999
35,0.05635,0.0412,0.0694,0.0381,0.07535,0.2138
36,0.0686,0.0644,0.05495,0.0431,0.0627,0.1004
37,0.06315,0.10405,0.07025,0.0346,0.0725,0.04815
38,0.0507,0.0649,0.0756,0.023,0.06975,0.07465
39,0.0616,0.1077,0.0412,0.0261,0.08175,0.0682
40,0.0601,0.09255,0.06785,0.032,0.0819,0.14275
41,0.05425,0.0927,0.05015,0.0409,0.121,0.0857
42,0.0578,0.0801,0.06235,0.0254,0.1057,0.0706
43,0.05225,0.0292,0.05685,0.0475,0.0731,0.1773
44,0.0246,0.05595,0.0471,0.0172,0.1071,0.0466
45,0.0479,0.04235,0.0648,0.0273,0.0904,0.1840999999999999
