,mangrove,vegetation,plough,paddyfield,water,architecture
0,0.0739,0.0466,0.0722,0.0485,0.0813,0.086
1,0.0487,0.0425,0.0814,0.0889,0.0723,0.0693
2,0.06725,0.0658,0.0951,0.10215,0.0797,0.089
3,0.0778,0.0422,0.0876,0.1159,0.0904,0.1228
4,0.0762,0.04975,0.09255,0.0758,0.149,0.0811
5,0.06705,0.0424,0.087,0.0456,0.0766,0.21735
6,0.07555,0.0762,0.0794,0.0679,0.07655,0.42948
7,0.0699,0.04885,0.0892,0.062,0.13875,0.1057
8,0.0825,0.1782,0.1063,0.0615,0.1032,0.1673
9,0.05365,0.0482,0.0624,0.0914,0.1017,0.049
10,0.0593,0.0455,0.0852,0.0548,0.0926,0.14875
11,0.0576,0.09405,0.0649,0.09635,0.0988,0.1012
12,0.0684,0.0573,0.09105,0.0672,0.1466,0.5289
13,0.0893,0.0963,0.08775,0.1016,0.1364,0.0683
14,0.06855,0.05505,0.0986,0.1238,0.1235,0.0568
15,0.0717,0.0591,0.1031499999999999,0.10905,0.121,0.1627
16,0.05935,0.0426,0.072,0.09335,0.13495,0.0475
17,0.0674,0.0602,0.114,0.0877,0.1315,0.1253
18,0.0728,0.0569,0.087,0.11695,0.1301,0.1798
19,0.0655,0.0447,0.09965,0.0732,0.0957,0.32516
20,0.0819,0.0499,0.0766,0.08175,0.12,0.2303
21,0.0555,0.0668,0.0942,0.0778,0.11415,0.056
22,0.06205,0.0379,0.08545,0.07915,0.1323,0.0997
23,0.07985,0.05945,0.0679,0.0533,0.108,0.1019
24,0.0924,0.0993,0.0771,0.08385,0.1259,0.1805
25,0.0902,0.05015,0.139,0.06975,0.11055,0.10055
26,0.0931,0.0897,0.08705,0.0677,0.1258,0.0855
27,0.1082,0.05705,0.0864,0.0862,0.11175,0.11595
28,0.1001,0.0453,0.0698,0.06525,0.10205,0.25324
29,0.0918,0.0385999999999999,0.12325,0.05025,0.1051,0.0849
30,0.0893,0.0466,0.07285,0.11545,0.10815,0.1057
31,0.1095,0.0689,0.0707,0.0842,0.0919,0.0601
32,0.10925,0.0641,0.09215,0.09165,0.09135,0.1609
33,0.0682,0.0245,0.0682,0.0593999999999999,0.0895,0.1593
34,0.07465,0.0562,0.0752,0.035,0.1051,0.0954
35,0.0746,0.074,0.09525,0.057,0.0804,0.1789
36,0.0839,0.0899,0.07865,0.0628,0.0625,0.1174
37,0.08055,0.1293,0.0852,0.0716,0.078,0.0791
38,0.06105,0.069,0.1027999999999999,0.0428,0.0768,0.11105
39,0.08215,0.1153,0.0735,0.0426,0.0965,0.0913
40,0.0776,0.1181,0.0976,0.0556,0.095,0.1688
41,0.0684,0.12305,0.0683,0.0754,0.1267,0.115
42,0.07435,0.10685,0.08455,0.0527,0.1146,0.0924
43,0.0721,0.04385,0.0824,0.066,0.0868,0.1999
44,0.0528,0.07915,0.0707,0.0404,0.115,0.0683
45,0.0757,0.05315,0.0877,0.0494,0.1003,0.2352
46,0.05365,0.0752,0.0903,0.0436,0.1159,0.0753
47,0.0396,0.076,0.0649,0.0476,0.1156,0.0833
48,0.05285,0.0642,0.12045,0.0802,0.1227,0.1143
49,0.10075,0.0768,0.1011,0.0881,0.1096,0.0775
50,0.0703,0.0855,0.086,0.0674,0.0889,0.08215
51,0.0805,0.07225,0.1133,0.0812,0.0792,0.1479
52,0.0533,0.0598,0.1114,0.1106,0.0731,0.0717
53,0.06055,0.0646,0.1924,0.0881,0.0767,0.12595
54,0.0484,0.04585,0.1568,0.0591,0.07675,0.3972
55,0.0502,0.07355,0.12555,0.11,0.0995,0.19015
56,0.0482,0.05345,0.12535,0.0858,0.0897,0.1116
57,0.0488,0.0521,0.1307,0.1207,0.0894,0.104
58,0.0884,0.0509,0.1376,0.1018,0.0695,0.24605
59,0.0438,0.0588,0.1248,0.1088,0.0669,0.1934
60,0.04735,0.0976,0.1625,0.0791,0.067,0.1525
61,0.04035,0.0669,0.1135,0.0623,0.0776,0.2676
62,0.0831,0.0726,0.1338,0.0785,0.0745,0.10845
63,0.0586,0.0937,0.0849,0.0796,0.0718,0.1316
64,0.0683,0.0692,0.1092,0.1184,0.0823,0.1814
65,0.05025,0.0733,0.0945,0.0938,0.0811,0.2191
66,0.0458,0.05955,0.0989,0.0744,0.1017,0.22835
67,0.0547,0.0543,0.0884,0.0925,0.11575,0.23595
