,mangrove,vegetation,plough,paddyfield,water,architecture
0,0.2935,0.1958,0.1951,0.0285,0.03455,0.2595
1,0.2551,0.2352,0.1595,0.0516,0.02635,0.0244
2,0.2754,0.18885,0.16095,0.05625,0.04895,0.2294
3,0.2662,0.198,0.2805,0.0464,0.0334,0.2591
4,0.25655,0.28695,0.21285,0.0559,0.1059,0.1261
5,0.31245,0.2646,0.158,0.066,0.0211,0.27915
6,0.21555,0.36,0.2135,0.0931,0.0152,0.52952
7,0.2417,0.27165,0.1866,0.0198,0.0832,0.2534
8,0.3239,0.2979,0.1374,0.0287,0.0289,0.1879
9,0.27865,0.2364,0.1081,0.0723,0.0458,0.0694
10,0.2662,0.206,0.13805,0.026,0.0183,0.18485
11,0.1493,0.2944,0.1381,0.10565,0.0236,0.1616
12,0.2694,0.3359,0.2767,0.0859,0.0461,0.4801
13,0.132,0.28775,0.3179,0.1684,0.05415,0.2655
14,0.2399,0.25135,0.274,0.1187,0.0429,0.2544
15,0.2645,0.33025,0.2496,0.0907,0.0365,0.2782
16,0.2684,0.2713,0.367,0.14375,0.03545,0.1025
17,0.3052,0.2614,0.2392,0.09615,0.045,0.2131
18,0.3012,0.4227,0.2336,0.0889,0.0955,0.221
19,0.2809,0.27345,0.34825,0.1027999999999999,0.02565,0.34636
20,0.2721,0.2819,0.3111,0.1866,0.0365,0.2821
21,0.3409,0.2787,0.2672,0.1755,0.0286,0.0989
22,0.29795,0.2931,0.2485,0.0531,0.06525,0.1883
23,0.319,0.3708,0.1958,0.1016,0.03145,0.2613
24,0.2696,0.259,0.0698,0.1525,0.04915,0.28085
25,0.2685,0.3345,0.2861,0.19905,0.0271,0.16955
26,0.2951,0.2361,0.0586,0.086,0.04365,0.2875
27,0.258,0.4044,0.07085,0.0414,0.03235,0.2617
28,0.2416,0.3032,0.2119,0.0418,0.03495,0.3405
29,0.2863,0.2958,0.33045,0.08895,0.03325,0.2015
30,0.3612,0.27065,0.1912,0.19275,0.03535,0.2229
31,0.2637,0.2955,0.13035,0.1872,0.0323,0.0259
32,0.2457,0.294,0.33895,0.1547,0.0298,0.3158
33,0.34695,0.1594,0.4807,0.1129,0.0206,0.2646
34,0.3238499999999999,0.2901,0.23605,0.0474,0.09775,0.2024
35,0.3148,0.14975,0.2545,0.1104,0.03775,0.2564
36,0.3007,0.1867,0.17515,0.0211,0.0313,0.1745
37,0.31655,0.25935,0.0592,0.0691,0.0294,0.1405
38,0.28525,0.3134,0.2907,0.0196,0.02215,0.2683999999999999
39,0.3201,0.3368,0.23815,0.0777,0.02255,0.0891
40,0.27125,0.32185,0.24925,0.0451,0.0213,0.2253
41,0.2856,0.27885,0.2609,0.0244,0.0523,0.2598
42,0.302,0.3221,0.0613,0.0292,0.04695,0.1699
43,0.3441,0.3061,0.1068,0.0087,0.05915,0.203
44,0.2593,0.18965,0.293,0.093,0.04485,0.1913
45,0.2591,0.33225,0.264,0.0527,0.0518,0.29685
46,0.23335,0.26045,0.3404,0.0575,0.05425,0.1789
47,0.2836,0.5355000000000001,0.2408,0.0628,0.0659,0.1193
48,0.06175,0.36505,0.2236,0.1282,0.0864,0.2299
49,0.1113,0.2893,0.2093,0.0576,0.0617,0.1455
50,0.212,0.1964,0.17835,0.01,0.0219,0.24735
51,0.2222,0.29405,0.2162,0.015,0.0176,0.2582
52,0.2444,0.3439,0.23165,0.0225,0.0196,0.307
53,0.2865,0.398,0.2175,0.0702,0.0213,0.18275
54,0.3017,0.2666,0.2682,0.0563,0.0229499999999999,0.3599
55,0.26355,0.3657,0.22035,0.1505,0.0237,0.28495
56,0.3116,0.24815,0.2348,0.013,0.0365,0.1709
57,0.215,0.369,0.21935,0.0203,0.0322,0.15055
58,0.2237,0.3018,0.2472,0.0192,0.0221,0.3448
59,0.31365,0.3451,0.2495,0.0162,0.0229,0.2616
60,0.2882,0.3977,0.2436,0.0087,0.01735,0.2055999999999999
61,0.26745,0.3596,0.2735,0.0113,0.0201,0.3208
62,0.20745,0.28475,0.3794,0.0151,0.0177,0.217
63,0.1767,0.2375,0.3541,0.0157,0.01775,0.1007
64,0.22795,0.233,0.1852,0.0224,0.0233,0.19505
65,0.2832,0.3059999999999999,0.1537,0.0152,0.0229,0.2466
66,0.27315,0.3842,0.2152,0.019,0.0253,0.3612
67,0.191,0.3262,0.204,0.0135,0.02755,0.31315
68,0.1766,0.3477,0.2387,0.0239,0.0203,0.2821
69,0.1433,0.3435,0.2058,0.0098,0.0175999999999999,0.346
70,0.2011,0.38215,0.2558,0.0288,0.02795,0.364
71,0.2479,0.3011,0.2082,0.0239,0.02745,0.4294
72,0.2265,0.3111,0.2057,0.0149,0.0329,0.2722
73,0.1888,0.24035,0.2,0.0322,0.028,0.31445
74,0.0352,0.2963,0.2838,0.015,0.0159,0.23765
75,0.3254,0.3946,0.1935,0.0123,0.0555,0.2589
76,0.322,0.3179,0.2281,0.0197,0.0889,0.2858
77,0.2273,0.2885,0.214,0.0119,0.0611,0.2531
78,0.2661,0.2968,0.1912,0.0128,0.0596,0.29545
79,0.10375,0.3168,0.2551,0.075,0.0517,0.228
80,0.089,0.3489,0.3332,0.0118,0.0236,0.2235
81,0.3306,0.35695,0.3323,0.0201,0.07935,0.17825
82,0.24045,0.35785,0.3208,0.0046,0.0104,0.1762
83,0.2468,0.3603,0.1932,0.0871,0.0166,0.1476
84,0.1325,0.3767,0.2118,0.0707,0.0094,0.1883
85,0.24085,0.2561,0.2636,0.0194,0.0086,0.2821
86,0.2581,0.3075,0.3841,0.0108,0.05865,0.1676
87,0.2252,0.35035,0.11755,0.0157,0.0184,0.34305
88,0.2402,0.32245,0.2311,0.0602,0.0114,0.2354
89,0.2407,0.3326,0.1628,0.0109,0.0295,0.2414
90,0.0904,0.338,0.3139,0.0224,0.0212,0.1845
91,0.22635,0.3564,0.2805,0.0074,0.02365,0.21025
92,0.11605,0.3719,0.1576,0.0153,0.0175,0.1555
93,0.3377,0.3947,0.1609,0.07165,0.0245,0.101
94,0.2125,0.3649,0.1945,0.0018,0.01525,0.2723
95,0.1662,0.3482,0.309,0.0026,0.0206,0.3762
96,0.2639,0.2428,0.20655,0.0485,0.0171,0.3024
97,0.2858,0.3831,0.26465,0.0154,0.0213,0.1776
98,0.2723,0.3491,0.28035,0.0176,0.0153,0.2202
99,0.2159,0.40415,0.24795,0.0883,0.0272,0.2044
100,0.2456,0.3534,0.3004,0.11495,0.0291,0.6067
101,0.1738,0.3729,0.2744,0.0846,0.0318,0.18565
102,0.2935,0.34245,0.3355,0.067,0.04785,0.23165
103,0.2111,0.2874,0.2084,0.09125,0.03975,0.29045
104,0.1766,0.3631,0.275,0.0633,0.047,0.3579
