,mangrove,vegetation,plough,paddyfield,water,architecture
0,0.0455,0.044,0.0682,0.0409,0.0515,0.0904
1,0.0381,0.02625,0.09555,0.0737,0.03945,0.0455
2,0.0466,0.0626,0.091,0.0778,0.0552,0.1034
3,0.0634,0.0276,0.0694,0.0749,0.0558,0.1329
4,0.0512,0.0305,0.08135,0.0546,0.1242,0.0988
5,0.04205,0.0246,0.0835,0.0359,0.047,0.2286
6,0.0614,0.0541,0.0785,0.0516,0.045,0.4060400000000001
7,0.0517,0.0275,0.0832,0.0414,0.104,0.1125
8,0.0507,0.2163,0.11245,0.0449,0.05445,0.1814
9,0.0329,0.0253,0.07255,0.0737,0.0635,0.0876
10,0.0376,0.0323,0.10865,0.0427,0.0536,0.1609
11,0.0351,0.10395,0.06525,0.1031,0.0564,0.1161
12,0.048,0.0335,0.0762,0.0544,0.1278,0.5502
13,0.0844,0.0996,0.0776,0.1076,0.1232,0.0699
14,0.06255,0.03965,0.0806,0.10715,0.0934,0.0421
15,0.0529,0.03075,0.10865,0.097,0.0774,0.1792
16,0.0385,0.0247,0.0435,0.09185,0.08755,0.0358
17,0.0665999999999999,0.0413,0.1236,0.06295,0.1046,0.1516
18,0.0504,0.03275,0.0911,0.09445,0.121,0.18236
19,0.0454,0.0385,0.09635,0.0459,0.06765,0.35092
20,0.0636,0.0212,0.0473,0.07635,0.082,0.2501
21,0.03305,0.0443,0.0953,0.0677,0.07685,0.0497
22,0.0388499999999999,0.02355,0.07375,0.06585,0.12275,0.1162
23,0.04995,0.03575,0.0534,0.0363,0.07125,0.1144
24,0.0669,0.0966,0.0525,0.06075,0.12135,0.19465
25,0.0683,0.0236,0.1421,0.0564,0.06595,0.109
26,0.0652,0.0826,0.05605,0.0425,0.08685,0.0779
27,0.0935,0.0349,0.0702,0.0638,0.0612,0.1425
28,0.0822,0.0262,0.05915,0.04995,0.0511,0.2836600000000001
29,0.0614,0.02395,0.12265,0.04595,0.05405,0.0963
30,0.0597,0.0254,0.0549,0.11855,0.05985,0.1284
31,0.0906,0.04515,0.0539,0.0702,0.04865,0.0363
32,0.0852499999999999,0.0456,0.066,0.0839,0.05135,0.1984
33,0.03975,0.0144,0.0584,0.04505,0.0588,0.21035
