,mangrove,vegetation,plough,paddyfield,water,architecture
0,0.1049,0.1565,0.1312,0.0267,0.0202,0.2346
1,0.0896,0.13315,0.23955,0.0243,0.01305,0.019
2,0.08745,0.1857,0.09975,0.0349,0.0415,0.2749
3,0.10545,0.12,0.175,0.0283,0.0238,0.2847
4,0.0956,0.1497,0.11595,0.0128,0.0999,0.1639
5,0.10425,0.148,0.095,0.0194,0.0158,0.3672
6,0.1026,0.2195,0.1689,0.0347,0.0061,0.5894000000000001
7,0.0763,0.1325,0.1058,0.0113,0.07215,0.1942
8,0.1138,0.2942,0.12865,0.015,0.01325,0.2246
9,0.0797,0.1289,0.10635,0.0516,0.0283,0.079
10,0.0838,0.1245,0.13075,0.0101,0.0066,0.19405
11,0.0481,0.25375,0.11155,0.09205,0.0089,0.2026
12,0.1083,0.16395,0.2149,0.0596,0.0138,0.49775
13,0.0818,0.19105,0.1775,0.1749,0.0157,0.2237
14,0.1956999999999999,0.1606,0.2085,0.0872,0.0166,0.1736
15,0.0817,0.13685,0.2476,0.08095,0.0138,0.2493
16,0.0767,0.1302,0.1727,0.09955,0.01495,0.0651
17,0.2182,0.1696,0.2521,0.0607,0.0181,0.2514
18,0.1006,0.1954,0.1886,0.0736,0.1021,0.23508
19,0.0963,0.20485,0.1807,0.0746,0.00915,0.31884
20,0.0855,0.1279,0.16565,0.15475,0.0137,0.3083
21,0.0873,0.1922,0.2754,0.1443,0.01225,0.0976
22,0.07445,0.1416,0.2287,0.05875,0.0238,0.2042
23,0.09505,0.1728,0.1425,0.0823,0.01575,0.2784
24,0.0869,0.2114,0.0594,0.09145,0.0126,0.32835
25,0.1029,0.1537,0.2531,0.1613,0.0114,0.2083
26,0.0972,0.1926,0.0457,0.0681,0.02625,0.2801
27,0.2118,0.20845,0.05485,0.0277,0.02185,0.28895
28,0.102,0.159,0.1464,0.04425,0.02495,0.3586800000000001
29,0.0987,0.12765,0.2389,0.0707,0.02285,0.2973
30,0.1167,0.14835,0.1211,0.2011,0.0251,0.2928
31,0.1047,0.16085,0.10335,0.123,0.02285,0.0638
32,0.10675,0.1408,0.18925,0.12795,0.02605,0.43495
33,0.1049,0.0837,0.18385,0.0867,0.0115,0.32295
34,0.1204,0.1524,0.2167,0.0351,0.04915,0.2907
35,0.10765,0.1082,0.1844,0.1124,0.01955,0.3238
36,0.105,0.19215,0.1094,0.0403,0.0162,0.1673
37,0.12245,0.34165,0.05335,0.0684,0.0134,0.12685
38,0.07435,0.1783,0.1863,0.0073,0.01105,0.3175
39,0.10635,0.2539,0.21145,0.0398,0.00995,0.0846
40,0.1252,0.25585,0.20765,0.0516,0.0117,0.21265
41,0.1009,0.3319,0.11355,0.0124,0.0231,0.2346
42,0.1186,0.34715,0.03785,0.023,0.02515,0.175
43,0.1116,0.17465,0.08715,0.0157,0.02035,0.3305
44,0.086,0.1946,0.169,0.0509,0.02905,0.1671
45,0.1267,0.184,0.2279,0.0437,0.0287,0.3638
46,0.14295,0.1575,0.2049,0.0311,0.02605,0.3134
47,0.0564,0.30235,0.166,0.0598,0.0324,0.165
48,0.03675,0.1866,0.2591,0.0597,0.0607,0.2168
49,0.0584,0.2408,0.25955,0.0237,0.0368,0.1083
50,0.0966,0.172,0.19595,0.0065,0.0122,0.18975
51,0.1114,0.27985,0.27225,0.0072,0.0095,0.2275
52,0.0647,0.2008,0.2932,0.01,0.0104,0.1978
53,0.1014,0.2342,0.25605,0.0627,0.0136,0.19415
54,0.0688,0.1408,0.3569,0.0535,0.01455,0.372
55,0.08,0.1743,0.2811,0.096,0.0098,0.3486999999999999
56,0.07795,0.1402,0.3088,0.0075,0.0091,0.19635
57,0.149,0.16575,0.28145,0.0062,0.0149,0.1735
58,0.2509,0.1752,0.2814,0.0077,0.0091,0.4692
59,0.0909,0.1568,0.3181,0.0052,0.0098,0.3029
60,0.07625,0.2828,0.2896,0.0084,0.0069,0.279
61,0.14245,0.2314,0.3224,0.0068,0.012,0.3654
62,0.12805,0.1818,0.2422,0.0086,0.0074,0.2153
63,0.1095,0.1909,0.1961,0.0094,0.00795,0.0961
64,0.08925,0.1574,0.1865,0.0095,0.0163,0.2386
65,0.06655,0.2231,0.2378,0.0059,0.0119,0.2839
66,0.0665999999999999,0.1606,0.2676,0.0083,0.0122,0.41875
67,0.1279,0.1405,0.224,0.0107,0.0103,0.40645
68,0.1441,0.21,0.2048,0.0072,0.0098,0.331
69,0.0973,0.19095,0.1976,0.0066,0.0063,0.3845
70,0.1256,0.20445,0.2045,0.0088,0.0158,0.3849
71,0.0606,0.213,0.2064,0.0079,0.0139,0.4846
72,0.124,0.17485,0.207,0.0089,0.02565,0.3493
73,0.0583,0.308,0.17,0.0226,0.0182,0.2669
74,0.0241,0.2861,0.236,0.0071,0.0124,0.29735
75,0.081,0.1924,0.211,0.0064,0.0537,0.2509
76,0.1064,0.1798,0.2612,0.0092,0.0883,0.2912
77,0.1717,0.1582,0.15,0.0064,0.0576,0.2469
78,0.0832,0.1597,0.2315,0.0076,0.0507,0.27195
79,0.0627,0.1942,0.2893,0.0224,0.0443,0.2406
80,0.09535,0.19345,0.2604,0.0069,0.0183,0.2632
81,0.0653,0.17935,0.2586,0.0083,0.0548,0.24425
82,0.1635,0.23165,0.2385,0.0071,0.0046,0.2144
83,0.1099,0.1935,0.2109,0.281,0.0068,0.1422
84,0.0665999999999999,0.2035,0.2746,0.1916,0.005,0.19765
85,0.05425,0.178,0.3724,0.0125,0.0059,0.3968
86,0.07515,0.2647,0.09215,0.0188,0.05875,0.2215
87,0.0591,0.2001,0.05645,0.009,0.0106,0.4639
88,0.06185,0.2098,0.2048,0.0426,0.0088,0.3338
89,0.0632,0.1631,0.1397,0.0077,0.0234,0.27675
90,0.0711,0.208,0.0968,0.0235,0.01565,0.1618
91,0.1949,0.1801,0.27505,0.0074,0.0093,0.21415
92,0.09865,0.2716,0.147,0.0079,0.0116,0.1447
93,0.0984,0.2233,0.1486,0.0088,0.0136,0.1069
94,0.0843,0.2108,0.23205,0.006,0.01325,0.31675
95,0.072,0.1728,0.3237,0.0044,0.0125,0.4146
96,0.0965,0.2648,0.1973,0.0591,0.0119,0.0401
97,0.0865,0.1888,0.2047,0.0079,0.0109,0.03475
