system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
000000000000000000c2_0,0.068,0.08950000000000001,0,0.06520000000000001,0.067,0.032600000000000004,0.0221,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.10060000000000001,0.1136,0,0.1554,0.0989,0.116,0.0763,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043c_0,0.0323,0.0551,0,0.3214,0.0425,0.1834,0.09630000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008e1_0,0.0959,0.108,0,0.0932,0.1024,0.0584,0.041600000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.0784,0.085,0,0.0529,0.064,0.07050000000000001,0.0599,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0.0363,0.057100000000000005,0,0.3272,0.041,0.12250000000000001,0.0669,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442_0,0.07830000000000001,0.0873,0,0.0753,0.0654,0.0639,0.0582,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444_0,0.0584,0.1068,0,0.1039,0.0653,0.0878,0.059300000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a_0,0.0811,0.09530000000000001,0,0.0396,0.0698,0.0218,0.0179,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000949_0,0.0344,0.0557,0,0.2896,0.053000000000000005,0.2137,0.1242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.08750000000000001,0.1076,0,0.0878,0.08460000000000001,0.0734,0.0444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440_0,0.039400000000000004,0.0568,0,0.08410000000000001,0.0398,0.06420000000000001,0.049600000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000439_0,0.0327,0.051500000000000004,0,0.3315,0.0438,0.20140000000000002,0.10110000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,0.0386,0.061500000000000006,0,0.31670000000000004,0.050800000000000005,0.1772,0.09530000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_0,0.0471,0.06860000000000001,0,0.0438,0.051800000000000006,0.0364,0.024900000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
