system:index,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2
00000000000000000001_0,0.11632000000000000,0.16528000000000000,0,0.12952000000000000,0.14356000000000000,0.12964000000000000,0.08040000000000000
00000000000000000004_0,0.045920000000000000,0.10984000000000000,0,0.04196000000000010,0.09008000000000010,0.03300000000000000,0.027040000000000000
00000000000000000007_0,0.07512000000000010,0.13240000000000000,0,0.4585200000000000,0.11964000000000000,0.2651600000000000,0.14492000000000000
0000000000000000000c_0,0.08064000000000000,0.11618000000000000,0,0.4239400000000000,0.11346000000000000,0.26346,0.16766000000000000
0000000000000000000d_0,0.06510000000000010,0.10008000000000000,0,0.02278000000000010,0.047320000000000100,0.023340000000000100,0.020360000000000000
00000000000000000013_0,0.029960000000000000,0.058800000000000100,0,0.2843200000000000,0.04368000000000010,0.12124000000000000,0.05216000000000000
00000000000000000014_0,0.11028000000000000,0.17264000000000000,0,0.23780000000000000,0.16068000000000000,0.12540000000000000,0.07044000000000010
00000000000000000015_0,0.07368000000000000,0.10332000000000000,0,0.19792000000000000,0.09820000000000010,0.15636000000000000,0.10156000000000000
00000000000000000017_0,0.05182000000000000,0.08024000000000000,0,0.3752200000000000,0.06694000000000010,0.23574000000000000,0.11080000000000000
0000000000000000001a_0,0.13994000000000000,0.19102000000000000,0,0.11020000000000000,0.17772000000000000,0.08810000000000010,0.07076000000000010
0000000000000000001b_0,0.10820000000000000,0.15164000000000000,0,0.04824000000000010,0.11864000000000000,0.02352000000000000,0.016040000000000100
0000000000000000001c_0,0.07128000000000010,0.11184000000000000,0,0.23380000000000000,0.10856000000000000,0.17092000000000000,0.12244000000000000
0000000000000000001e_0,0.03844000000000010,0.10208000000000000,0,0.00992000000000004,0.05984000000000000,0.02340000000000010,0.02378000000000010
0000000000000000001f_0,0.02128000000000000,0.06672000000000010,0,0.5945600000000000,0.03292000000000010,0.21532,0.07744000000000010
00000000000000000020_0,0.08856000000000000,0.12972000000000000,0,0.06572000000000010,0.10564000000000000,0.032360000000000100,0.021240000000000000
00000000000000000022_0,0.056080000000000000,0.08876000000000000,0,0.17494000000000000,0.07258000000000010,0.10886000000000000,0.057060000000000100
00000000000000000025_0,0.11784000000000000,0.15964000000000000,0,0.42064000000000000,0.16112000000000000,0.34348000000000000,0.20492000000000000
00000000000000000026_0,0.05128000000000010,0.07694000000000000,0,0.3956200000000000,0.05460000000000000,0.21162000000000000,0.09874000000000010
00000000000000000027_0,0.03312000000000000,0.08444000000000010,0,0.20100000000000000,0.04036000000000010,0.10824000000000000,0.053600000000000000
0000000000000000002a_0,0.044100000000000100,0.09794000000000010,0,0.5226000000000000,0.06016000000000010,0.20674000000000000,0.07994000000000000
0000000000000000002b_0,0.10656000000000000,0.16086000000000000,0,0.15846000000000000,0.18324000000000000,0.08758000000000010,0.045920000000000000
0000000000000000002c_0,0.04500000000000000,0.08604000000000010,0,0.4939200000000000,0.05832000000000000,0.2015200000000000,0.07184000000000010
0000000000000000002d_0,0.04442000000000000,0.12798000000000000,0,0.0,0.08408000000000000,0.0029000000000000400,0.00550000000000006
0000000000000000002e_0,0.04416000000000000,0.09656000000000000,0,0.28120000000000000,0.07224000000000000,0.13936000000000000,0.07104000000000010
0000000000000000002f_0,0.08420000000000010,0.13980000000000000,0,0.07336000000000000,0.09064000000000010,0.02920000000000010,0.01832000000000010
