system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2
00000000000000000001_0,0.10688,0.17932,0,0.13964,0.18036,0.15612,0.10864,0.11632,0.16528,0,0.12952,0.14356,0.12964,0.0804
00000000000000000004_0,0.0883200000000001,0.15288,0,0.14016,0.17428,0.0827200000000001,0.0636800000000001,0.04592,0.10984,0,0.0419600000000001,0.0900800000000001,0.033,0.02704
00000000000000000007_0,0.0934200000000001,0.14238,0,0.5588,0.11436,0.28388,0.16496,0.0751200000000001,0.1324,0,0.45852,0.11964,0.26516,0.14492
0000000000000000000c_0,0.06232,0.10796,0,0.26104,0.09956,0.16184,0.0942400000000001,0.08064,0.11618,0,0.42394,0.11346,0.26346,0.16766
0000000000000000000d_0,0.0524200000000001,0.1059,0,0.02778,0.05224,0.0265400000000001,0.0230600000000001,0.0651000000000001,0.10008,0,0.0227800000000001,0.0473200000000001,0.0233400000000001,0.02036
00000000000000000013_0,0.07052,0.11452,0,0.27876,0.10112,0.19956,0.11448,0.02996,0.0588000000000001,0,0.28432,0.0436800000000001,0.12124,0.05216
00000000000000000015_0,0.12106,0.16532,0,0.27618,0.176,0.28188,0.20434,0.07368,0.10332,0,0.19792,0.0982000000000001,0.15636,0.10156
00000000000000000017_0,0.0695400000000001,0.10486,0,0.38986,0.08652,0.28588,0.14804,0.05182,0.08024,0,0.37522,0.0669400000000001,0.23574,0.1108
0000000000000000001a_0,0.11642,0.17096,0,0.0788000000000001,0.16622,0.0230600000000001,0.01492,0.13994,0.19102,0,0.1102,0.17772,0.0881000000000001,0.0707600000000001
0000000000000000001c_0,0.07592,0.10816,0,0.18348,0.10916,0.15476,0.11916,0.0712800000000001,0.11184,0,0.2338,0.10856,0.17092,0.12244
0000000000000000001e_0,0.07436,0.13704,0,0.02208,0.09372,0.0191600000000001,0.01468,0.0384400000000001,0.10208,0,0.00992,0.05984,0.0234000000000001,0.0237800000000001
0000000000000000001f_0,0.04084,0.07324,0,0.64768,0.0368000000000001,0.267,0.0969200000000001,0.02128,0.0667200000000001,0,0.59456,0.0329200000000001,0.21532,0.0774400000000001
00000000000000000020_0,0.10148,0.13032,0,0.06404,0.12032,0.0377600000000001,0.0293600000000001,0.08856,0.12972,0,0.0657200000000001,0.10564,0.0323600000000001,0.02124
00000000000000000022_0,0.07652,0.0960800000000001,0,0.14148,0.07924,0.10116,0.0569600000000001,0.05608,0.08876,0,0.17494,0.0725800000000001,0.10886,0.0570600000000001
00000000000000000025_0,0.12912,0.1558,0,0.30184,0.15632,0.33608,0.22916,0.11784,0.15964,0,0.42064,0.16112,0.34348,0.20492
00000000000000000027_0,0.0402400000000001,0.0806600000000001,0,0.1736,0.0664600000000001,0.10952,0.06658,0.03312,0.0844400000000001,0,0.201,0.0403600000000001,0.10824,0.0536
0000000000000000002a_0,0.06448,0.10654,0,0.40124,0.0767600000000001,0.21096,0.0997200000000001,0.0441000000000001,0.0979400000000001,0,0.5226,0.0601600000000001,0.20674,0.07994
0000000000000000002b_0,0.13264,0.1946,0,0.1102,0.1936,0.08556,0.0716800000000001,0.10656,0.16086,0,0.15846,0.18324,0.0875800000000001,0.04592
0000000000000000002c_0,0.05216,0.07436,0,0.47464,0.0495600000000001,0.21396,0.0862000000000001,0.045,0.0860400000000001,0,0.49392,0.05832,0.20152,0.0718400000000001
0000000000000000002d_0,0.0310800000000001,0.10544,0,0.00348,0.06848,0.00548,0.00664,0.04442,0.12798,0,0.0,0.08408,0.0029,0.0055
0000000000000000002e_0,0.07996,0.1582,0,0.3802,0.15688,0.30472,0.17872,0.04416,0.09656,0,0.2812,0.07224,0.13936,0.0710400000000001
0000000000000000002f_0,0.0528400000000001,0.11076,0,0.04828,0.0634000000000001,0.0506400000000001,0.04256,0.0842000000000001,0.1398,0,0.07336,0.0906400000000001,0.0292000000000001,0.0183200000000001
00000000000000000030_0,0.05892,0.0839200000000001,0,0.31344,0.0665200000000001,0.21618,0.13202,0.0448200000000001,0.0709600000000001,0,0.33646,0.0555000000000001,0.22674,0.12734
00000000000000000033_0,0.0671600000000001,0.1122,0,0.12476,0.11364,0.14356,0.11188,0.11262,0.14428,0,0.1226,0.14044,0.12408,0.0993800000000001
00000000000000000034_0,0.10314,0.14614,0,0.42584,0.14386,0.33602,0.21772,0.08232,0.11432,0,0.50334,0.0996800000000001,0.30306,0.15358
00000000000000000035_0,0.11164,0.15046,0,0.18664,0.15348,0.13908,0.0956000000000001,0.12168,0.15462,0,0.17266,0.16536,0.13388,0.09848
00000000000000000036_0,0.1464,0.17236,0,0.37968,0.1796,0.34916,0.24154,0.13842,0.17152,0,0.38822,0.19674,0.37184,0.26284
00000000000000000037_0,0.17108,0.23644,0,0.36804,0.26456,0.4258,0.324,0.19766,0.26226,0,0.38816,0.3092,0.39846,0.3308
00000000000000000038_0,0.11516,0.14232,0,0.36308,0.1398,0.31792,0.19496,0.0905800000000001,0.12026,0,0.31164,0.12406,0.29718,0.19602
00000000000000000039_0,0.0895800000000001,0.13776,0,0.26016,0.14068,0.18226,0.12268,0.0708800000000001,0.1148,0,0.36144,0.1004,0.2352,0.1416
