system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
000000000000000000c2_0,0.013900000000000001,0.038200000000000005,0,0.09195,0.0235,0.025400000000000002,0.0195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.33930278040933,21.127971240613295]}"
0000000000000000000f_0,0.014100000000000001,0.036500000000000005,0,0.08370000000000001,0.0181,0.038,0.024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.59289718511627,21.234421601781456]}"
0000000000000000043c_0,0.014400000000000001,0.041,0,0.3438,0.025500000000000002,0.1656,0.0813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.19188924228531,20.8258678105639]}"
000000000000000008e1_0,0.0145,0.0504,0,0.0076,0.021400000000000002,0.0057,0.0054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49048924272665,21.163005536693955]}"
00000000000000000047_0,0.015000000000000001,0.041600000000000005,0,0.018000000000000002,0.0247,0.0507,0.0317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.35493346635302,20.818860951347766]}"
000000000000000000a2_0,0.0161,0.041600000000000005,0,0.4373,0.0251,0.1365,0.0565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.58831577716727,20.9220773774931]}"
00000000000000000442_0,0.0162,0.0241,0,0.015600000000000001,0.015700000000000002,0.0078000000000000005,0.006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.17491108341547,20.880844705952015]}"
00000000000000000444_0,0.016800000000000002,0.0402,0,0.0668,0.0337,0.0834,0.064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.53387787094962,21.116113478862918]}"
0000000000000000043a_0,0.016900000000000002,0.0472,0,0.0092,0.022000000000000002,0.0054,0.007500000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.58238689629208,21.185912576439]}"
00000000000000000949_0,0.0171,0.0385,0,0.307,0.0392,0.17120000000000002,0.08950000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.29726162511254,20.83233568060956]}"
00000000000000000012_0,0.0172,0.0441,0,0.021500000000000002,0.020300000000000002,0.033600000000000005,0.025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.59208870136057,21.239272504315704]}"
00000000000000000440_0,0.0172,0.035500000000000004,0,0.0507,0.0223,0.0461,0.031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.26896469366278,21.1144965113515]}"
00000000000000000439_0,0.0173,0.0363,0,0.3062,0.0221,0.138,0.0609,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.1617058487389,21.12365932724952]}"
0000000000000000004f_0,0.017400000000000002,0.0438,0,0.4152,0.0241,0.1361,0.0585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5961311201391,20.924233334174986]}"
0000000000000000045e_0,0.0178,0.0438,0,0.046,0.0244,0.0538,0.033800000000000004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.16035837581272,20.903482251111825]}"
0000000000000000000c_0,0.0179,0.0368,0,0.2886,0.0414,0.1912,0.11330000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45653292498693,21.231996150514334]}"
00000000000000000005_0,0.018000000000000002,0.0379,0,0.2723,0.0296,0.1453,0.0721,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.66404375561854,21.28373911087962]}"
000000000000000000ce_0,0.0183,0.0575,0,0.079,0.0256,0.046400000000000004,0.031200000000000002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61634321403179,21.27134235995877]}"
0000000000000000002e_0,0.0187,0.0476,0,0.32330000000000003,0.0465,0.1583,0.0809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.30588545184008,20.833952648120974]}"
0000000000000000007e_0,0.0187,0.046400000000000004,0,0.0206,0.0245,0.0286,0.0218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49264519940854,21.158424128744944]}"
000000000000000008c9_0,0.01875,0.03715,0,0.22300000000000003,0.022,0.0959,0.04240000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.55373978729237,21.776375212690763]}"
00000000000000000448_0,0.019100000000000002,0.043000000000000003,0,0.006200000000000001,0.0213,0.006500000000000001,0.0064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47378057844203,21.15680716123353]}"
00000000000000000003_0,0.0193,0.0344,0,0.046900000000000004,0.0274,0.0458,0.0351,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.38215241946183,20.811315102961164]}"
0000000000000000042f_0,0.0195,0.0366,0,0.016800000000000002,0.02,0.0145,0.0114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.16359231083555,20.875993803417767]}"
0000000000000000001e_0,0.0199,0.038400000000000004,0,0.27440000000000003,0.027700000000000002,0.152,0.0697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.15389050576707,21.15599867747782]}"
00000000000000000921_0,0.02,0.035,0,0.0247,0.0207,0.0219,0.012700000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.18838581267725,20.86332755791168]}"
000000000000000000e5_0,0.0204,0.0455,0,0.1423,0.023200000000000002,0.0536,0.0267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.59208870136057,21.246009868946597]}"
000000000000000000d0_0,0.020900000000000002,0.056900000000000006,0,0.09240000000000001,0.0332,0.0925,0.0582,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.60718039813378,21.23738604221905]}"
00000000000000000487_0,0.020900000000000002,0.054700000000000006,0,0.32030000000000003,0.0402,0.15810000000000002,0.0879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.57268509122359,20.910219615742722]}"
0000000000000000002c_0,0.0216,0.043300000000000005,0,0.21100000000000002,0.043300000000000005,0.1806,0.113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45734140874264,21.009393623109517]}"
0000000000000000044c_0,0.0219,0.0427,0,0.0494,0.025500000000000002,0.0505,0.0358,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.50396397198844,21.16516149337584]}"
00000000000000000956_0,0.0222,0.0388,0,0.27290000000000003,0.0261,0.1721,0.0791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.38835079492226,21.439506981145943]}"
00000000000000000957_0,0.0222,0.0557,0,0.016900000000000002,0.0287,0.0159,0.013600000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.53549483846103,21.181870157660466]}"
00000000000000000432_0,0.022500000000000003,0.047,0,0.323,0.030100000000000002,0.16140000000000002,0.0726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.3781100006833,21.41498297388948]}"
0000000000000000089a_0,0.022500000000000003,0.0543,0,0.373,0.0345,0.1728,0.08940000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.60718039813378,20.930970698805883]}"
00000000000000000430_0,0.023,0.0471,0,0.024800000000000003,0.0257,0.0097,0.006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.18057046970542,20.88057521136678]}"
00000000000000000110_0,0.0233,0.06570000000000001,0,0.307,0.0352,0.1655,0.08370000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.18245693180207,21.075689291077538]}"
000000000000000000c3_0,0.0236,0.057600000000000005,0,0.3572,0.033600000000000005,0.21250000000000002,0.0976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.28782931462928,21.116921962618623]}"
0000000000000000045c_0,0.0236,0.056400000000000006,0,0.36510000000000004,0.0392,0.1511,0.0782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.59936505516194,20.934204633828713]}"
00000000000000000458_0,0.0239,0.0629,0,0.020900000000000002,0.041,0.010100000000000001,0.0095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48240440516958,21.163005536693955]}"
00000000000000000096_0,0.023950000000000003,0.054400000000000004,0,0.31884999999999997,0.04425,0.1946,0.10850000000000001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.2142572928599,21.121503370567634]}"
0000000000000000043b_0,0.024,0.0459,0,0.21350000000000002,0.052700000000000004,0.198,0.1279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.58130891795113,20.935821601340127]}"
000000000000000004b6_0,0.024,0.056400000000000006,0,0.0204,0.0296,0.0146,0.0097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.2571069319124,20.836917088558568]}"
