system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000001_0,0.1495,0.16110000000000000,0,0.0806,0.1317,0.08410000000000000,0.061900000000000000
00000000000000000003_0,0.0794,0.11665,0,0.30095000000000000,0.11575,0.26485000000000000,0.1678
00000000000000000004_0,0.0888,0.11860000000000000,0,0.0932,0.12710000000000000,0.056,0.0443
00000000000000000005_0,0.14135000000000000,0.1772,0,0.3054,0.20055,0.36615,0.33265
00000000000000000007_0,0.062200000000000000,0.10200000000000000,0,0.3775,0.108,0.2654,0.2056
0000000000000000000a_0,0.051300000000000000,0.06670000000000000,0,0.013000000000000000,0.031400000000000000,0.0074,0.0051
0000000000000000000c_0,0.061900000000000000,0.08835000000000000,0,0.2376,0.09740000000000000,0.2519,0.17805
0000000000000000000d_0,0.09295,0.10700000000000000,0,0.03755,0.0655,0.0205,0.0112
0000000000000000000e_0,0.07275000000000000,0.08460000000000000,0,0.32315000000000000,0.08375,0.27205,0.1639
00000000000000000011_0,0.10915,0.13305,0,0.15500000000000000,0.1285,0.0777,0.04625
00000000000000000013_0,0.04965,0.07205,0,0.1213,0.0485,0.10260000000000000,0.0592
00000000000000000014_0,0.06405,0.08705,0,0.24630000000000000,0.07600000000000000,0.1264,0.07250000000000000
00000000000000000015_0,0.05845,0.07085,0,0.10585000000000000,0.0614,0.07340000000000000,0.0476
00000000000000000017_0,0.038200000000000000,0.0601,0,0.2529,0.0473,0.19940000000000000,0.1091
00000000000000000018_0,0.024200000000000000,0.0591,0,0.31880000000000000,0.038700000000000000,0.2031,0.0945
00000000000000000019_0,0.07595,0.10325000000000000,0,0.10800000000000000,0.09875,0.09735,0.05045000000000000
0000000000000000001a_0,0.09340000000000000,0.1169,0,0.0516,0.1159,0.0173,0.012400000000000000
0000000000000000001b_0,0.07335,0.09040000000000000,0,0.03005,0.0695,0.01635,0.012900000000000000
0000000000000000001c_0,0.0908,0.1022,0,0.1595,0.1009,0.1409,0.1106
