system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
00000000000000000001_0,0.1495,0.1611,0,0.0806,0.1317,0.0841,0.0619,0.0518,0.0885,0,0.0595,0.0646,0.06625,0.0516
00000000000000000003_0,0.0794,0.11665,0,0.30095,0.11575,0.26485,0.1678,0.05815,0.0874,0,0.31875,0.09535,0.29785,0.1914
00000000000000000004_0,0.0888,0.1186,0,0.0932,0.1271,0.056,0.0443,0.0635,0.0982,0,0.03725,0.07815,0.0221,0.019
00000000000000000005_0,0.14135,0.1772,0,0.3054,0.20055,0.36615,0.33265,0.1508,0.1866,0,0.3445,0.1859,0.3135,0.265
00000000000000000007_0,0.0622,0.102,0,0.3775,0.108,0.2654,0.2056,0.0594,0.088,0,0.3115,0.0672,0.19195,0.12055
0000000000000000000a_0,0.0513,0.0667,0,0.013,0.0314,0.0074,0.0051,0.0658,0.0823,0,0.0544,0.0594,0.0472,0.0326
0000000000000000000c_0,0.0619,0.08835,0,0.2376,0.0974,0.2519,0.17805,0.0782,0.1062,0,0.23495,0.11295,0.1932,0.1127
0000000000000000000d_0,0.09295,0.107,0,0.03755,0.0655,0.0205,0.0112,0.0852,0.09895,0,0.02575,0.05525,0.02405,0.02175
0000000000000000000e_0,0.07275,0.0846,0,0.32315,0.08375,0.27205,0.1639,0.0384,0.0551,0,0.3451,0.0444,0.2126,0.1016
00000000000000000011_0,0.10915,0.13305,0,0.155,0.1285,0.0777,0.04625,0.0883,0.1167,0,0.0255,0.0812,0.0175,0.0148
00000000000000000013_0,0.04965,0.07205,0,0.1213,0.0485,0.1026,0.0592,0.0484,0.0813,0,0.2122,0.0498,0.1153,0.0574
00000000000000000014_0,0.06405,0.08705,0,0.2463,0.076,0.1264,0.0725,0.06225,0.0932,0,0.24585,0.0762,0.1307,0.06345
00000000000000000015_0,0.05845,0.07085,0,0.10585,0.0614,0.0734,0.0476,0.0417,0.0563,0,0.0778,0.0457,0.0559,0.0368
00000000000000000017_0,0.0382,0.0601,0,0.2529,0.0473,0.1994,0.1091,0.0325,0.0572,0,0.3397,0.0397,0.1743,0.0863
