system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000001_0,0.10688,0.17932,0,0.13964,0.18036,0.15612,0.10864,0.1495,0.1611,0,0.0806,0.1317,0.0841,0.0619
00000000000000000003_0,0.11468,0.14644,0,0.34872,0.1618,0.3496,0.224,0.0794,0.11665,0,0.30095,0.11575,0.26485,0.1678
00000000000000000004_0,0.0883200000000001,0.15288,0,0.14016,0.17428,0.0827200000000001,0.0636800000000001,0.0888,0.1186,0,0.0932,0.1271,0.056,0.0443
00000000000000000005_0,0.12584,0.17372,0,0.33232,0.20768,0.39632,0.34932,0.14135,0.1772,0,0.3054,0.20055,0.36615,0.33265
00000000000000000007_0,0.0934200000000001,0.14238,0,0.5588,0.11436,0.28388,0.16496,0.0622,0.102,0,0.3775,0.108,0.2654,0.2056
0000000000000000000a_0,0.09156,0.10932,0,0.04288,0.06564,0.0197600000000001,0.01268,0.0513,0.0667,0,0.013,0.0314,0.0074,0.0051
0000000000000000000c_0,0.06232,0.10796,0,0.26104,0.09956,0.16184,0.0942400000000001,0.0619,0.08835,0,0.2376,0.0974,0.2519,0.17805
0000000000000000000d_0,0.0524200000000001,0.1059,0,0.02778,0.05224,0.0265400000000001,0.0230600000000001,0.09295,0.107,0,0.03755,0.0655,0.0205,0.0112
0000000000000000000e_0,0.0750400000000001,0.10268,0,0.39788,0.11104,0.3402,0.20172,0.07275,0.0846,0,0.32315,0.08375,0.27205,0.1639
00000000000000000013_0,0.07052,0.11452,0,0.27876,0.10112,0.19956,0.11448,0.04965,0.07205,0,0.1213,0.0485,0.1026,0.0592
00000000000000000015_0,0.12106,0.16532,0,0.27618,0.176,0.28188,0.20434,0.05845,0.07085,0,0.10585,0.0614,0.0734,0.0476
00000000000000000017_0,0.0695400000000001,0.10486,0,0.38986,0.08652,0.28588,0.14804,0.0382,0.0601,0,0.2529,0.0473,0.1994,0.1091
00000000000000000018_0,0.0658400000000001,0.09672,0,0.37588,0.09212,0.2568,0.13976,0.0242,0.0591,0,0.3188,0.0387,0.2031,0.0945
00000000000000000019_0,0.0959200000000001,0.16252,0,0.2788,0.1792,0.2386,0.12052,0.07595,0.10325,0,0.108,0.09875,0.09735,0.05045
0000000000000000001a_0,0.11642,0.17096,0,0.0788000000000001,0.16622,0.0230600000000001,0.01492,0.0934,0.1169,0,0.0516,0.1159,0.0173,0.0124
0000000000000000001c_0,0.07592,0.10816,0,0.18348,0.10916,0.15476,0.11916,0.0908,0.1022,0,0.1595,0.1009,0.1409,0.1106
0000000000000000001e_0,0.07436,0.13704,0,0.02208,0.09372,0.0191600000000001,0.01468,0.07085,0.09675,0,0.011,0.05515,0.0059,0.00605
0000000000000000001f_0,0.04084,0.07324,0,0.64768,0.0368000000000001,0.267,0.0969200000000001,0.04265,0.0586,0,0.34015,0.03505,0.1584,0.0684
00000000000000000020_0,0.10148,0.13032,0,0.06404,0.12032,0.0377600000000001,0.0293600000000001,0.1056,0.1239,0,0.1344,0.1214,0.0836,0.0552
00000000000000000022_0,0.07652,0.0960800000000001,0,0.14148,0.07924,0.10116,0.0569600000000001,0.04725,0.06625,0,0.1102,0.05245,0.08895,0.0531
00000000000000000025_0,0.12912,0.1558,0,0.30184,0.15632,0.33608,0.22916,0.06775,0.0849,0,0.1887,0.0875,0.22835,0.16365
00000000000000000027_0,0.0402400000000001,0.0806600000000001,0,0.1736,0.0664600000000001,0.10952,0.06658,0.08015,0.09495,0,0.12175,0.0806,0.10855,0.0794
0000000000000000002a_0,0.06448,0.10654,0,0.40124,0.0767600000000001,0.21096,0.0997200000000001,0.05055,0.0766,0,0.3654,0.05685,0.22285,0.11595
0000000000000000002b_0,0.13264,0.1946,0,0.1102,0.1936,0.08556,0.0716800000000001,0.0685,0.10175,0,0.07355,0.1134,0.01125,0.00895
0000000000000000002c_0,0.05216,0.07436,0,0.47464,0.0495600000000001,0.21396,0.0862000000000001,0.0732,0.0926,0,0.3016,0.0838,0.1708,0.0985
0000000000000000002d_0,0.0310800000000001,0.10544,0,0.00348,0.06848,0.00548,0.00664,0.08105,0.1072,0,0.0279,0.06985,0.0105,0.0076
0000000000000000002e_0,0.07996,0.1582,0,0.3802,0.15688,0.30472,0.17872,0.10055,0.11975,0,0.20505,0.1175,0.1541,0.1044
0000000000000000002f_0,0.0528400000000001,0.11076,0,0.04828,0.0634000000000001,0.0506400000000001,0.04256,0.06175,0.072,0,0.0225,0.03665,0.00895,0.0069
00000000000000000030_0,0.05892,0.0839200000000001,0,0.31344,0.0665200000000001,0.21618,0.13202,0.0396,0.0555,0,0.21145,0.0381,0.15915,0.098
00000000000000000033_0,0.0671600000000001,0.1122,0,0.12476,0.11364,0.14356,0.11188,0.1025,0.1095,0,0.1007,0.1071,0.0991,0.0859
00000000000000000034_0,0.10314,0.14614,0,0.42584,0.14386,0.33602,0.21772,0.0613,0.0893,0,0.2732,0.0885,0.2378,0.1734
00000000000000000035_0,0.11164,0.15046,0,0.18664,0.15348,0.13908,0.0956000000000001,0.0964,0.1103,0,0.1105,0.101,0.0783,0.0484
00000000000000000036_0,0.1464,0.17236,0,0.37968,0.1796,0.34916,0.24154,0.136,0.172,0,0.2801,0.1844,0.2867,0.2502
00000000000000000037_0,0.17108,0.23644,0,0.36804,0.26456,0.4258,0.324,0.132,0.1765,0,0.28115,0.20795,0.30565,0.2729
00000000000000000038_0,0.11516,0.14232,0,0.36308,0.1398,0.31792,0.19496,0.0646,0.0877,0,0.2404,0.0981,0.27125,0.18185
00000000000000000039_0,0.0895800000000001,0.13776,0,0.26016,0.14068,0.18226,0.12268,0.08635,0.10405,0,0.1839,0.09895,0.13965,0.09215
0000000000000000003a_0,0.08352,0.1238,0,0.0422400000000001,0.0840400000000001,0.02024,0.01284,0.08005,0.1077,0,0.0255,0.0836,0.01455,0.01115
00000000000000000040_0,0.06382,0.0963000000000001,0,0.0260600000000001,0.05642,0.0167400000000001,0.0128600000000001,0.11745,0.12095,0,0.07905,0.0895,0.05505,0.04415
00000000000000000041_0,0.0864,0.11592,0,0.0502,0.0822000000000001,0.01664,0.01108,0.0838,0.1234,0,0.0375,0.101,0.019,0.0132
00000000000000000042_0,0.04738,0.08462,0,0.0,0.0276,0.00648,0.00828,0.0903,0.1029,0,0.0279,0.0587,0.0142,0.0118
00000000000000000043_0,0.1547,0.17848,0,0.40438,0.16176,0.3633,0.3133,0.1565,0.146,0,0.26665,0.13995,0.2758,0.2497
00000000000000000044_0,0.035,0.0761200000000001,0,0.0044,0.02284,0.007,0.00708,0.09015,0.1021,0,0.0307,0.06455,0.0115,0.00705
00000000000000000045_0,0.1046,0.14636,0,0.16204,0.14808,0.15436,0.0973200000000001,0.0704,0.101,0,0.081,0.106,0.0763,0.0661
00000000000000000046_0,0.0585600000000001,0.09296,0,0.0316000000000001,0.05288,0.0254,0.01984,0.0629,0.0838,0,0.016,0.0381,0.0109,0.0097
00000000000000000047_0,0.04034,0.0849600000000001,0,0.03128,0.0641400000000001,0.0224600000000001,0.01752,0.05505,0.08025,0,0.0202,0.057,0.0093,0.0078
00000000000000000048_0,0.09672,0.13296,0,0.42592,0.11844,0.3158,0.1852,0.1489,0.19155,0,0.32265,0.22025,0.3921,0.32565
00000000000000000049_0,0.1084,0.1522,0,0.06332,0.13232,0.0194,0.0117200000000001,0.0687,0.1016,0,0.0601,0.0969,0.016,0.0126
0000000000000000004a_0,0.09184,0.129,0,0.305,0.12788,0.24656,0.18032,0.06815,0.09755,0,0.2599,0.10395,0.22125,0.1661
0000000000000000004b_0,0.0927600000000001,0.1384,0,0.3988,0.12608,0.25112,0.15172,0.0477,0.0876,0,0.2756,0.0679,0.209,0.1145
0000000000000000004d_0,0.0587200000000001,0.12716,0,0.0,0.0913200000000001,0.0113200000000001,0.0128800000000001,0.1378,0.163,0,0.07545,0.13575,0.016,0.01145
0000000000000000004e_0,0.0959200000000001,0.14604,0,0.2849,0.13958,0.20212,0.10332,0.0976,0.1225,0,0.19,0.1032,0.1476,0.0824
00000000000000000050_0,0.0934400000000001,0.12536,0,0.2086,0.11664,0.19344,0.12648,0.07255,0.0949,0,0.15455,0.08625,0.1318,0.0967
00000000000000000052_0,0.07708,0.10908,0,0.05076,0.0860000000000001,0.0187600000000001,0.01024,0.043,0.0753,0,0.0085,0.0517,0.0084,0.0066
00000000000000000054_0,0.1827,0.19816,0,0.34216,0.19818,0.36898,0.32024,0.1277,0.1482,0,0.2023,0.1559,0.2362,0.2138
00000000000000000056_0,0.0577200000000001,0.11576,0,0.00864,0.05192,0.0206000000000001,0.01268,0.0886,0.1151,0,0.0318,0.1022,0.0096,0.0068
00000000000000000057_0,0.14908,0.17136,0,0.27832,0.1784,0.28932,0.21448,0.07685,0.1048,0,0.21605,0.10805,0.21125,0.17175
0000000000000000005a_0,0.0706000000000001,0.11036,0,0.16432,0.0897600000000001,0.0863200000000001,0.0501200000000001,0.11135,0.12595,0,0.13175,0.1118,0.1202,0.0945
0000000000000000005b_0,0.06942,0.1204,0,0.1262,0.12192,0.07606,0.0449000000000001,0.1138,0.12305,0,0.08745,0.10265,0.0545,0.04325
0000000000000000005c_0,0.0274,0.0756000000000001,0,0.0,0.0113200000000001,0.00592,0.00688,0.09335,0.11115,0,0.0272,0.06825,0.0104,0.00725
0000000000000000005e_0,0.03418,0.0647200000000001,0,0.5051,0.04508,0.2326,0.0931400000000001,0.0369,0.0521,0,0.3492,0.0337,0.17565,0.075
0000000000000000005f_0,0.06092,0.0926400000000001,0,0.04516,0.0636800000000001,0.0153200000000001,0.00984,0.0612,0.08505,0,0.08985,0.0859,0.0895,0.06615
00000000000000000062_0,0.0760400000000001,0.12716,0,0.29448,0.14408,0.21848,0.12856,0.03965,0.05805,0,0.16685,0.0733,0.14,0.08805
00000000000000000064_0,0.0378000000000001,0.0964800000000001,0,0.0184,0.07392,0.00948,0.00788,0.06435,0.08365,0,0.0414,0.0714,0.0192,0.0211
00000000000000000067_0,0.0557800000000001,0.0878800000000001,0,0.1171,0.07652,0.0803200000000001,0.0528200000000001,0.04085,0.05075,0,0.05855,0.03995,0.0584,0.04125
0000000000000000006a_0,0.0352000000000001,0.0996800000000001,0,0.00368,0.046,0.00972,0.00908,0.0593,0.0817,0,0.0095,0.0396,0.004,0.0046
0000000000000000006b_0,0.0704200000000001,0.11698,0,0.2749,0.17738,0.25506,0.18036,0.05915,0.0878,0,0.19135,0.12095,0.2063,0.16315
0000000000000000006e_0,0.0988800000000001,0.1216,0,0.26796,0.10588,0.17768,0.11752,0.0541,0.0743,0,0.2139,0.0658,0.1512,0.1136
00000000000000000072_0,0.12952,0.16456,0,0.28768,0.18728,0.30636,0.22032,0.1368,0.1947,0,0.2696,0.2346,0.3163,0.2719
00000000000000000074_0,0.0304800000000001,0.0840000000000001,0,0.0,0.0232000000000001,0.00448,0.00584,0.0937,0.10815,0,0.0335,0.0786,0.0142,0.01
00000000000000000075_0,0.15556,0.21536,0,0.29756,0.22008,0.30772,0.27388,0.1622,0.17845,0,0.18775,0.19545,0.20555,0.2029
00000000000000000078_0,0.13644,0.17796,0,0.25176,0.19304,0.29336,0.265,0.11705,0.1453,0,0.1913,0.15435,0.24375,0.25065
0000000000000000007a_0,0.0595800000000001,0.11398,0,0.02208,0.05296,0.0268,0.0237800000000001,0.07445,0.08535,0,0.03225,0.04155,0.0208,0.01615
0000000000000000007e_0,0.1034,0.14068,0,0.22204,0.14568,0.21088,0.14728,0.0731,0.09805,0,0.20435,0.0916,0.1578,0.09855
00000000000000000080_0,0.10728,0.13944,0,0.2862,0.1458,0.32004,0.2252,0.0909,0.1222,0,0.2388,0.1458,0.2816,0.2047
00000000000000000081_0,0.09644,0.1356,0,0.15056,0.11908,0.11972,0.08728,0.069,0.0883,0,0.0841,0.07065,0.0567,0.04415
00000000000000000082_0,0.08408,0.157,0,0.3192,0.17294,0.26676,0.16266,0.07995,0.12225,0,0.2604,0.12745,0.20125,0.1123
00000000000000000083_0,0.0969000000000001,0.13936,0,0.0618000000000001,0.12162,0.0254200000000001,0.0169000000000001,0.0871,0.1127,0,0.0424,0.1104,0.0135,0.0096
00000000000000000084_0,0.07564,0.10036,0,0.41556,0.0941600000000001,0.2916,0.15688,0.05895,0.0703,0,0.2482,0.05835,0.14085,0.077
00000000000000000086_0,0.14296,0.17204,0,0.39608,0.1918,0.32824,0.23472,0.17705,0.2089,0,0.3628,0.2189,0.3269,0.26225
00000000000000000087_0,0.0763400000000001,0.11864,0,0.37474,0.1041,0.25268,0.14468,0.0609,0.0919,0,0.1936,0.1039,0.2239,0.1615
00000000000000000089_0,0.0429000000000001,0.0880200000000001,0,0.50472,0.08138,0.2347,0.12624,0.0225,0.0543,0,0.373,0.0345,0.1728,0.0894
0000000000000000008b_0,0.0756000000000001,0.11852,0,0.07664,0.0948800000000001,0.0631600000000001,0.0499200000000001,0.0652,0.0848,0,0.0433,0.06645,0.0302,0.0232
0000000000000000008c_0,0.0652400000000001,0.11048,0,0.15224,0.10188,0.0504000000000001,0.02796,0.07985,0.0998,0,0.12405,0.08565,0.0607,0.0306
0000000000000000008d_0,0.10896,0.1408,0,0.0698800000000001,0.11152,0.0731600000000001,0.05916,0.07605,0.0856,0,0.03885,0.0606,0.0249,0.016
0000000000000000008e_0,0.0972400000000001,0.12196,0,0.13724,0.10528,0.0618400000000001,0.0369600000000001,0.0782,0.1015,0,0.0933,0.0954,0.0684,0.0444
0000000000000000008f_0,0.11344,0.13988,0,0.108,0.11902,0.1026,0.0804400000000001,0.0879,0.1131,0,0.032,0.0841,0.0236,0.0213
00000000000000000090_0,0.18324,0.2546,0,0.34512,0.286,0.34824,0.27812,0.1643,0.2379,0,0.3065,0.2787,0.3333,0.2976
00000000000000000091_0,0.0759000000000001,0.11998,0,0.33696,0.11006,0.23184,0.1401,0.0845,0.1037,0,0.2237,0.0948,0.1838,0.1191
00000000000000000093_0,0.0973200000000001,0.1388,0,0.0478400000000001,0.11004,0.0177200000000001,0.0105600000000001,0.07425,0.1033,0,0.02865,0.07845,0.0204,0.0148
00000000000000000095_0,0.0662,0.0886200000000001,0,0.2711,0.0937400000000001,0.27756,0.161,0.06185,0.0755,0,0.2162,0.08615,0.23765,0.1553
00000000000000000096_0,0.09496,0.13068,0,0.31764,0.1188,0.26432,0.1688,0.0842,0.1482,0,0.1893,0.1263,0.1586,0.1008
00000000000000000099_0,0.0668400000000001,0.0986400000000001,0,0.40516,0.07608,0.20196,0.10096,0.03355,0.05215,0,0.3287,0.04045,0.1912,0.0976
0000000000000000009a_0,0.05838,0.12978,0,0.12406,0.1283,0.10216,0.06182,0.0996,0.1362,0,0.1353,0.1423,0.1009,0.0596
0000000000000000009b_0,0.1118,0.13848,0,0.30112,0.14032,0.3297,0.22386,0.0599,0.0797,0,0.1954,0.0922,0.2354,0.1648
0000000000000000009e_0,0.06964,0.10036,0,0.43876,0.0725600000000001,0.227,0.1056,0.0394,0.0696,0,0.3446,0.0379,0.1719,0.0877
