system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
000000000000000000c2_0,0,0.0476,0.0358,0.0139,0.0443,0.0348,0.0264,0.0382,0.02885,0.068,0.0393
0000000000000000000f_0,0,0.0553,0.0401,0.0141,0.0419,0.0372,0.0264,0.0342,0.03695,0.1006,0.0227
0000000000000000043c_0,0,0.02955,0.0389,0.0144,0.03125,0.0303,0.02345,0.0262,0.02035,0.0323,0.0247
000000000000000008e1_0,0,0.0446,0.0392,0.0145,0.0369,0.03275,0.03245,0.0451,0.03275,0.0959,0.0323
00000000000000000047_0,0,0.02785,0.0304,0.015,0.0354,0.0376,0.0341,0.02945,0.0263,0.0784,0.029
000000000000000000a2_0,0,0.0251,0.0391,0.0161,0.0422499999999999,0.0369,0.0334,0.0374,0.0185,0.0363,0.0301
00000000000000000442_0,0,0.0448,0.05565,0.0162,0.0338,0.04,0.0223,0.0487,0.0271,0.0783,0.1607
00000000000000000444_0,0,0.04965,0.04265,0.0168,0.0359,0.0378,0.02715,0.0299,0.04045,0.0584,0.0276
0000000000000000043a_0,0,0.06685,0.0334,0.0169,0.0488,0.0274,0.0245,0.0685,0.0266,0.0811,0.0159
00000000000000000949_0,0,0.0313,0.04195,0.0171,0.03155,0.0337,0.0272,0.0363,0.03135,0.0344,0.0404
00000000000000000012_0,0,0.0415,0.0418,0.0172,0.03735,0.0638,0.0319,0.0385,0.02915,0.0875,0.036
00000000000000000440_0,0,0.0505,0.037,0.0172,0.0384,0.0502,0.02765,0.057,0.0398,0.0394,0.0243
00000000000000000439_0,0,0.0272,0.0317,0.0173,0.0308,0.0308,0.0288,0.0356,0.0297,0.0327,0.0322
0000000000000000004f_0,0,0.0301,0.0425,0.0174,0.0359,0.0398,0.0402,0.0375,0.0281,0.0386,0.0372
0000000000000000045e_0,0,0.0382499999999999,0.0384,0.0178,0.036,0.0395,0.0286,0.0441,0.0399,0.0471,0.0327
0000000000000000000c_0,0,0.0163,0.0285,0.0179,0.03365,0.0452,0.05335,0.0355,0.0391,0.0761,0.0334
00000000000000000005_0,0,0.02795,0.0364499999999999,0.018,0.0279,0.0285,0.03,0.0385,0.0264,0.0461,0.0237
000000000000000000ce_0,0,0.0432,0.0432,0.0183,0.0448,0.0318,0.0306,0.0493,0.05775,0.112,0.0399
0000000000000000002e_0,0,0.0414,0.04115,0.0187,0.035,0.0348,0.0265,0.0285,0.0356,0.0439,0.048
0000000000000000007e_0,0,0.0456,0.0435,0.0187,0.046,0.03925,0.0351,0.0605,0.0374,0.0505,0.041
000000000000000008c9_0,0,0.04615,0.03,0.01875,0.0243,0.0245,0.0294,0.0294,0.0255,0.0252,0.0202
00000000000000000448_0,0,0.0294,0.0382,0.0191,0.0341,0.0275,0.02555,0.0316,0.03395,0.0824,0.0275
00000000000000000003_0,0,0.0349,0.0371,0.0193,0.0337,0.0373,0.0314,0.0321,0.03725,0.0526,0.0318
0000000000000000042f_0,0,0.04375,0.0439,0.0195,0.0315,0.0638,0.0236,0.0292,0.032,0.0676,0.04
0000000000000000001e_0,0,0.0259,0.0354,0.0199,0.03375,0.0308,0.0259,0.0312,0.0272,0.0312,0.0327
00000000000000000921_0,0,0.0451,0.03405,0.02,0.03035,0.031,0.0378,0.0303,0.0441,0.0417,0.0353
000000000000000000e5_0,0,0.0356,0.0477,0.0204,0.04645,0.0376,0.0383,0.0571,0.03955,0.0836,0.0675
000000000000000000d0_0,0,0.0376,0.04345,0.0209,0.0421,0.04235,0.0386,0.0672,0.0336,0.06,0.0378
00000000000000000487_0,0,0.0363,0.0443,0.0209,0.0408,0.0406,0.0391,0.0478,0.0311,0.0328,0.0286
0000000000000000002c_0,0,0.0315,0.0405,0.0216,0.0355,0.07185,0.0386,0.0768,0.02095,0.0301,0.0308
0000000000000000044c_0,0,0.0354,0.0364,0.0219,0.0378,0.0347,0.02855,0.0259,0.02525,0.0605,0.0259
00000000000000000956_0,0,0.0274,0.0251,0.0222,0.0247,0.0322,0.04485,0.0475,0.0279,0.0371,0.0368
00000000000000000957_0,0,0.03695,0.0372,0.0222,0.0346,0.0404,0.088,0.0984,0.14945,0.13435,0.0872
00000000000000000432_0,0,0.0263,0.02755,0.0225,0.0281,0.0323,0.0303,0.0348,0.0247,0.0388,0.0297
0000000000000000089a_0,0,0.0307,0.0394,0.0225,0.0368,0.03495,0.03535,0.0421,0.0244,0.0409,0.0325
00000000000000000430_0,0,0.0561,0.0516,0.023,0.0328,0.0371,0.02735,0.0343,0.03155,0.0463,0.0536
00000000000000000110_0,0,0.03585,0.0388,0.0233,0.0398,0.04605,0.04195,0.0365,0.0396,0.0352,0.0363
000000000000000000c3_0,0,0.0325,0.04445,0.0236,0.0344,0.0344,0.02895,0.0378,0.0354,0.0548,0.0361
0000000000000000045c_0,0,0.04135,0.0512,0.0236,0.03615,0.0422,0.0375,0.0476,0.0345,0.0485,0.0377
00000000000000000458_0,0,0.0611,0.0448,0.0239,0.0482,0.0571,0.0311,0.0379,0.0359,0.0675,0.0276
00000000000000000096_0,0,0.0376,0.03205,0.02395,0.048,0.0479,0.0442,0.0621,0.05915,0.0547,0.0398
0000000000000000043b_0,0,0.02305,0.0391,0.024,0.0345,0.03585,0.0252,0.0412,0.0191,0.0348,0.0289
000000000000000004b6_0,0,0.0533,0.0368,0.024,0.0503,0.0542,0.0254,0.03375,0.0285,0.0471,0.0208
00000000000000000434_0,0,0.0297,0.0389,0.02405,0.0291,0.0274,0.0225,0.0261,0.02825,0.0335,0.03
0000000000000000084f_0,0,0.03305,0.0367,0.0242,0.0372,0.034,0.0279,0.03385,0.03255,0.038,0.0278
00000000000000000148_0,0,0.0327,0.0385,0.0246,0.0518,0.0457,0.053,0.0466,0.04295,0.083,0.0495
00000000000000000455_0,0,0.0304,0.0392,0.0246,0.0376,0.03635,0.0296,0.035,0.0236,0.0307,0.0302
000000000000000004a7_0,0,0.04165,0.03525,0.0252,0.05065,0.0669,0.02365,0.02935,0.03785,0.0426,0.0198
000000000000000008aa_0,0,0.0239,0.0217,0.0254,0.0212,0.0237,0.0229,0.0236,0.0229,0.0214,0.01965
00000000000000000437_0,0,0.0391,0.05295,0.0255,0.02995,0.0572,0.0231,0.0382499999999999,0.0319,0.0394,0.0314
00000000000000000947_0,0,0.0386,0.03435,0.02575,0.0367,0.02835,0.029,0.0353,0.0268,0.0265,0.028
0000000000000000046f_0,0,0.041,0.0403,0.0259,0.0379,0.0305,0.0269,0.0363,0.026,0.0332999999999999,0.0261
000000000000000000b2_0,0,0.0674,0.0496,0.0262,0.0438,0.0388,0.0332,0.0496,0.03675,0.1016,0.0862
00000000000000000038_0,0,0.03775,0.0401,0.0265,0.0398,0.0361,0.0317,0.0338,0.0473,0.0899,0.0389
00000000000000000a3f_0,0,0.0615,0.02705,0.0265,0.0301,0.029,0.02585,0.03115,0.0275,0.0274,0.0261
000000000000000004a1_0,0,0.02375,0.0409,0.0268,0.043,0.0364,0.028,0.0323,0.0271,0.0485,0.0391
00000000000000000517_0,0,0.0341,0.0487,0.0269,0.051,0.0508,0.0502,0.0516,0.0456,0.0642,0.0366
000000000000000004e7_0,0,0.04785,0.04455,0.0270499999999999,0.05025,0.0649,0.03805,0.0642,0.03075,0.0953,0.0422
0000000000000000049a_0,0,0.0418,0.038,0.0271,0.041,0.0432,0.0274,0.043,0.03405,0.0456,0.0277
00000000000000000479_0,0,0.0402,0.04115,0.0272,0.0381,0.0504,0.0373,0.046,0.04,0.0412,0.0515
00000000000000000029_0,0,0.0407,0.0391,0.0276,0.0379,0.0316,0.0259,0.0352,0.0445,0.0374,0.0363
000000000000000008b6_0,0,0.0316,0.0291,0.0276,0.0316,0.03555,0.02605,0.0278,0.0203,0.03455,0.0141
