system:index,landcover,19-1_green,19-2_green,20-1_green,20-2_green,21-1_green,21-2_green,22-1_green,22-2_green,23-1_green,23-2_green
000000000000000000c2_0,0,0.0894,0.0555,0.0382,0.0769,0.0442,0.0396,0.0516,0.0508,0.0895,0.0599
0000000000000000000f_0,0,0.0733,0.0543,0.0365,0.0494,0.0582499999999999,0.0418,0.0487,0.07445,0.1136,0.0459
0000000000000000043c_0,0,0.0554,0.0619,0.041,0.05445,0.0414,0.0441,0.04535,0.0441,0.0551,0.04135
000000000000000008e1_0,0,0.0776,0.0578,0.0504,0.0556,0.0599,0.04715,0.0673,0.05135,0.108,0.0483
00000000000000000047_0,0,0.04965,0.0453,0.0416,0.0647,0.0596,0.0523,0.0453,0.04775,0.085,0.0385
000000000000000000a2_0,0,0.0487999999999999,0.06045,0.0416,0.0688,0.0586,0.0568,0.053,0.0428,0.0571,0.048
00000000000000000442_0,0,0.064,0.06485,0.0241,0.0389,0.0538,0.0356,0.0553,0.0355,0.0873,0.182
00000000000000000444_0,0,0.0659,0.05475,0.0402,0.0475,0.0484,0.0657,0.0663,0.08425,0.1068,0.0541
0000000000000000043a_0,0,0.09275,0.05615,0.0472,0.0552,0.04895,0.0454,0.0897,0.0481,0.0953,0.022
00000000000000000949_0,0,0.0508,0.06905,0.0385,0.04885,0.0437,0.0456,0.048,0.05165,0.0557,0.059
00000000000000000012_0,0,0.0601,0.06105,0.0441,0.0584999999999999,0.0906,0.05475,0.0603,0.0594,0.1076,0.0488
00000000000000000440_0,0,0.0724,0.04705,0.0355,0.045,0.075,0.0372,0.078,0.0575,0.0568,0.0334
00000000000000000439_0,0,0.0407,0.04535,0.0363,0.0469,0.0374,0.0482,0.0452,0.0531,0.0515,0.0481
0000000000000000004f_0,0,0.05555,0.06705,0.0438,0.0617,0.0574,0.0635,0.055,0.0583,0.0615,0.0587
0000000000000000045e_0,0,0.05145,0.0585,0.0438,0.0471,0.0603,0.0585,0.0678,0.0567,0.0686,0.0516
0000000000000000000c_0,0,0.0366,0.0488,0.0368,0.04885,0.057,0.0909,0.0366,0.04755,0.0929,0.041
00000000000000000005_0,0,0.0485,0.0525,0.0379,0.043,0.0408,0.0472,0.0522,0.041,0.0628,0.0338
000000000000000000ce_0,0,0.085,0.062,0.0575,0.0806,0.0598,0.0499,0.065,0.0848,0.1367,0.0624
0000000000000000002e_0,0,0.0684,0.06255,0.0476,0.0552,0.0479,0.0444,0.0414,0.05655,0.0592,0.0651
0000000000000000007e_0,0,0.0672,0.0591,0.0464,0.0657,0.0636,0.0486,0.0811,0.0517,0.0918,0.055
000000000000000008c9_0,0,0.06465,0.04935,0.03715,0.0433,0.0413,0.0491,0.049,0.042,0.0372,0.0361
00000000000000000448_0,0,0.0563,0.0492,0.043,0.0452,0.0383,0.04075,0.0567,0.05245,0.1091,0.0408
00000000000000000003_0,0,0.0622,0.0504,0.0344,0.0473,0.059,0.0381,0.04855,0.0472,0.06215,0.0412
0000000000000000042f_0,0,0.0648,0.0477,0.0366,0.03565,0.0919,0.0319,0.0455,0.0408,0.0865,0.0544
0000000000000000001e_0,0,0.0506,0.0548,0.0384,0.0511,0.0434,0.04305,0.0412,0.0462,0.047,0.0619
00000000000000000921_0,0,0.0558,0.0445,0.035,0.042,0.0415,0.0523,0.038,0.047,0.0509,0.0459
000000000000000000e5_0,0,0.0556,0.05865,0.0455,0.0771,0.0573,0.0542,0.071,0.0538,0.09455,0.0902
000000000000000000d0_0,0,0.05995,0.06835,0.0569,0.0759,0.06395,0.0536,0.0949,0.0496,0.0831,0.0619
00000000000000000487_0,0,0.06155,0.0746,0.0547,0.0693,0.0616,0.0627,0.0634,0.05935,0.0544,0.0486
0000000000000000002c_0,0,0.05285,0.0618,0.0433,0.0534,0.098,0.0608,0.0829,0.03675,0.0463,0.0414
0000000000000000044c_0,0,0.0513999999999999,0.0505,0.0427,0.0508,0.0508,0.0407,0.0386,0.033,0.0707,0.0358
00000000000000000956_0,0,0.0513,0.0475,0.0388,0.0443,0.0484,0.07345,0.0692,0.0467,0.0534,0.0543
00000000000000000957_0,0,0.05565,0.0485,0.0557,0.0484,0.0636,0.1149,0.132,0.1915,0.1671,0.0986
