system:index,landcover,19-1_nir,19-2_nir,20-1_nir,20-2_nir,21-1_nir,21-2_nir,22-1_nir,22-2_nir,23-1_nir,23-2_nir
000000000000000000c2_0,0,0.0604,0.0392,0.09195,0.0473,0.0303,0.0332,0.0322,0.0285,0.0652,0.0643
0000000000000000000f_0,0,0.1195,0.08055,0.0837,0.0784,0.04665,0.0864,0.0563,0.0837,0.1554,0.0227
0000000000000000043c_0,0,0.3299,0.397,0.3438,0.36505,0.263,0.3751,0.34005,0.4208,0.3214,0.3323
000000000000000008e1_0,0,0.0341,0.0184,0.0076,0.0185,0.01735,0.01345,0.0213,0.0151,0.0932,0.0152
00000000000000000047_0,0,0.0727,0.06195,0.018,0.0827,0.0811,0.05325,0.03325,0.03725,0.0529,0.1223
000000000000000000a2_0,0,0.4199,0.43715,0.4373,0.2343,0.2284,0.2924,0.3279,0.2726,0.3272,0.3614
00000000000000000442_0,0,0.0449,0.04665,0.0156,0.03185,0.032,0.0234,0.0447,0.0294,0.0753,0.2106
00000000000000000444_0,0,0.1135,0.0739,0.0668,0.0561,0.04015,0.0852499999999999,0.0758,0.1071,0.1039,0.0174
0000000000000000043a_0,0,0.0497,0.0145,0.0092,0.0323,0.01195,0.0126,0.1238,0.01255,0.0396,0.0082
00000000000000000949_0,0,0.2689,0.34895,0.307,0.3352,0.3029,0.3412,0.2404,0.34685,0.2896,0.2704
00000000000000000012_0,0,0.0473,0.0451,0.0215,0.0415,0.0743,0.063,0.0574,0.04265,0.0878,0.0358
00000000000000000440_0,0,0.0678,0.05585,0.0507,0.0437,0.0863,0.06585,0.0744,0.0588,0.0841,0.024
00000000000000000439_0,0,0.2932,0.32645,0.3062,0.3342,0.3095,0.3727,0.3019,0.3167,0.3315,0.3347
0000000000000000004f_0,0,0.3759,0.35265,0.4152,0.3313,0.2763,0.3127,0.3153,0.3185,0.3167,0.3681
0000000000000000045e_0,0,0.07465,0.05925,0.046,0.0472,0.0586,0.0726,0.0513999999999999,0.0457,0.0438,0.0561
0000000000000000000c_0,0,0.2788,0.34075,0.2886,0.30045,0.2511,0.40025,0.0527,0.02475,0.0826,0.038
00000000000000000005_0,0,0.3128,0.3098,0.2723,0.3049,0.2785,0.2988,0.2928,0.3253,0.3027,0.2825
000000000000000000ce_0,0,0.0764999999999999,0.06175,0.079,0.0755,0.0467,0.0881,0.0772,0.1018,0.1562,0.0669
0000000000000000002e_0,0,0.2736,0.3707,0.3233,0.3764,0.3338,0.35315,0.2509,0.28085,0.2637,0.2701
0000000000000000007e_0,0,0.0551,0.0354,0.0206,0.0564,0.03535,0.03465,0.0937,0.0367,0.0531,0.0677
000000000000000008c9_0,0,0.28315,0.3164,0.223,0.2886,0.22735,0.29315,0.2835,0.3201,0.26975,0.2863
00000000000000000448_0,0,0.01365,0.02,0.0062,0.02085,0.014,0.0131,0.0103,0.0107,0.0454,0.0114
00000000000000000003_0,0,0.07245,0.0742,0.0469,0.0784,0.0593,0.0618,0.0518,0.06185,0.08585,0.0864
0000000000000000042f_0,0,0.033,0.0336,0.0168,0.01995,0.1077,0.01225,0.028,0.0247,0.0467,0.0163
0000000000000000001e_0,0,0.3076,0.3193,0.2744,0.32675,0.253,0.3056,0.2802,0.35265,0.3256,0.3878
00000000000000000921_0,0,0.05125,0.049,0.0247,0.04425,0.0456,0.0535,0.0205,0.036,0.0439,0.0642
000000000000000000e5_0,0,0.0474,0.0449,0.1423,0.05165,0.02885,0.0229,0.023,0.0101,0.0787,0.0527
000000000000000000d0_0,0,0.14765,0.15145,0.0924,0.1818,0.15985,0.0925,0.1738,0.11265,0.1039,0.149
00000000000000000487_0,0,0.3159,0.3104,0.3203,0.3328,0.2845,0.3336,0.1639,0.24445,0.2092,0.307
0000000000000000002c_0,0,0.28515,0.2713,0.211,0.2852,0.285,0.3372,0.27725,0.3146,0.2469,0.2748
0000000000000000044c_0,0,0.0488,0.0532,0.0494,0.0693,0.0654,0.05985,0.0515,0.0568,0.0652,0.0543
00000000000000000956_0,0,0.4158,0.35785,0.2729,0.3522,0.2886,0.35115,0.3059,0.4789,0.3495,0.3858
