system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
000000000000000000c2_0,0,0.04,0.0332,0.0235,0.0397,0.0307,0.02515,0.0332999999999999,0.02335,0.067,0.031
0000000000000000000f_0,0,0.047,0.03435,0.0181,0.0313,0.03395,0.0252,0.0305,0.03735,0.0989,0.0218
0000000000000000043c_0,0,0.04435,0.0361,0.0255,0.0342,0.0326,0.0217,0.0246,0.02305,0.0425,0.0229
000000000000000008e1_0,0,0.0525,0.0335,0.0214,0.0342,0.03545,0.02905,0.0506,0.0309,0.1024,0.032
00000000000000000047_0,0,0.03495,0.03135,0.0247,0.0403,0.036,0.032,0.0293,0.02625,0.064,0.0304
000000000000000000a2_0,0,0.02915,0.03615,0.0251,0.07295,0.0524,0.0455,0.0341,0.03,0.041,0.032
00000000000000000442_0,0,0.04105,0.04095,0.0157,0.0253,0.0361,0.02205,0.0443,0.0237,0.0654,0.1959
00000000000000000444_0,0,0.0541,0.0403,0.0337,0.034,0.03635,0.0278,0.0296,0.04845,0.0653,0.0235
0000000000000000043a_0,0,0.07265,0.02875,0.022,0.0503,0.02455,0.0239,0.088,0.0243,0.0698,0.014
00000000000000000949_0,0,0.0435,0.05355,0.0392,0.0316,0.032,0.0309,0.0489,0.04065,0.053,0.0541
00000000000000000012_0,0,0.0388,0.0344,0.0203,0.03295,0.0651,0.02915,0.0334,0.0321,0.0846,0.0298
00000000000000000440_0,0,0.0539,0.0344,0.0223,0.0298,0.0674,0.027,0.061,0.0356,0.0398,0.0205
00000000000000000439_0,0,0.0293,0.0312,0.0221,0.0302,0.0249,0.0337,0.0383,0.0408,0.0438,0.0354
0000000000000000004f_0,0,0.03875,0.04345,0.0241,0.0484,0.045,0.0555,0.0384,0.0455,0.0508,0.041
0000000000000000045e_0,0,0.03835,0.0336,0.0244,0.0296,0.0379,0.0362,0.0465,0.0332999999999999,0.0518,0.0303
0000000000000000000c_0,0,0.0301,0.03655,0.0414,0.0336,0.04775,0.05665,0.0324,0.04255,0.0839,0.0338
00000000000000000005_0,0,0.0343,0.0394,0.0296,0.03,0.0301,0.029,0.0366,0.0256999999999999,0.0469,0.0261
000000000000000000ce_0,0,0.0483,0.0381,0.0256,0.0501,0.0364,0.0359,0.0565,0.0695,0.1181,0.0409
0000000000000000002e_0,0,0.0646,0.0414,0.0465,0.0411,0.0399,0.0357,0.0345,0.05585,0.0621,0.0764999999999999
0000000000000000007e_0,0,0.0563,0.0408,0.0245,0.0465,0.0394,0.0369,0.072,0.0369,0.0624,0.0473
000000000000000008c9_0,0,0.0426,0.0263,0.022,0.023,0.02735,0.02685,0.0318,0.0217,0.02185,0.0191
00000000000000000448_0,0,0.0256,0.0313,0.0213,0.03015,0.0242,0.02385,0.0285,0.0308,0.0809,0.0228
00000000000000000003_0,0,0.04195,0.0412,0.0274,0.0349,0.0411,0.0301,0.03365,0.03915,0.046,0.0284
