system:index,landcover,19-1_swir2,19-2_swir2,20-1_swir2,20-2_swir2,21-1_swir2,21-2_swir2,22-1_swir2,22-2_swir2,23-1_swir2,23-2_swir2
000000000000000000c2_0,0,0.021,0.01745,0.0195,0.0215,0.0235,0.01975,0.0237,0.01325,0.0221,0.0173
0000000000000000000f_0,0,0.0459,0.0218,0.024,0.0274,0.01825,0.0188,0.0221,0.02175,0.0763,0.0124
0000000000000000043c_0,0,0.11825,0.0862,0.0813,0.08005,0.0727,0.06695,0.0689,0.0859,0.0963,0.06405
000000000000000008e1_0,0,0.0326,0.0064,0.0054,0.0115,0.0076,0.0071,0.02,0.0128,0.0416,0.0065
00000000000000000047_0,0,0.04555,0.0228,0.0317,0.033,0.0412,0.02945,0.02815,0.02235,0.0599,0.0295
000000000000000000a2_0,0,0.06745,0.06805,0.0565,0.11965,0.0709,0.0762,0.0577,0.0712,0.0669,0.0565
00000000000000000442_0,0,0.0201,0.0098,0.006,0.0077,0.0091,0.0069,0.0138,0.0078,0.0582,0.1849
00000000000000000444_0,0,0.0716,0.04365,0.064,0.0335,0.02115,0.04385,0.0381,0.0453,0.0593,0.0144
0000000000000000043a_0,0,0.0489,0.0083,0.0075,0.0185,0.00755,0.0083,0.0518,0.01525,0.0179,0.0061
00000000000000000949_0,0,0.0915,0.1142,0.0895,0.0702,0.0599,0.077,0.1171,0.10975,0.1242,0.1159
00000000000000000012_0,0,0.0349,0.0197,0.025,0.0262,0.0391,0.0185,0.0269,0.01855,0.0444,0.0227
00000000000000000440_0,0,0.0437,0.01985,0.031,0.0169,0.0453,0.0239,0.049,0.02445,0.0496,0.0134
00000000000000000439_0,0,0.0561,0.06805,0.0609,0.0583,0.045,0.0842,0.0837,0.0876,0.1011,0.0785
0000000000000000004f_0,0,0.095,0.07765,0.0585,0.0988,0.0908,0.0947,0.0685,0.1008,0.0953,0.0886
0000000000000000045e_0,0,0.03465,0.02085,0.0338,0.0264,0.0319,0.03025,0.0207,0.0226,0.0249,0.0259
0000000000000000000c_0,0,0.0906,0.07855,0.1133,0.06635,0.0731,0.0842,0.023,0.0144,0.02,0.015
00000000000000000005_0,0,0.07065,0.06395,0.0721,0.0648,0.0535,0.0627,0.0678,0.0583,0.0835,0.0732
000000000000000000ce_0,0,0.0377,0.0315,0.0312,0.0429,0.0357,0.0336,0.0322,0.04245,0.0726,0.0251
0000000000000000002e_0,0,0.1315,0.07925,0.0809,0.0756,0.0697,0.069,0.0741,0.1096,0.1127,0.1531
0000000000000000007e_0,0,0.0538,0.0312,0.0218,0.056,0.03945,0.03385,0.0675,0.04105,0.0619,0.0516
000000000000000008c9_0,0,0.0636,0.047,0.0424,0.0437,0.0473,0.0446,0.0619,0.0481,0.0506,0.0457
00000000000000000448_0,0,0.0059,0.0077,0.0064,0.01385,0.0075,0.00745,0.0087,0.0118,0.0112,0.0069
00000000000000000003_0,0,0.0429,0.032,0.0351,0.0343,0.0342,0.0311,0.0369,0.0329,0.0385,0.0239
0000000000000000042f_0,0,0.01215,0.0115,0.0114,0.00945,0.05,0.00865,0.0105,0.0151,0.0538,0.0083
0000000000000000001e_0,0,0.0661,0.0922,0.0697,0.07625,0.06675,0.06435,0.062,0.0679,0.07,0.1112
00000000000000000921_0,0,0.03845,0.0164,0.0127,0.0178,0.0231,0.0214,0.0277,0.0264,0.0196,0.0231
000000000000000000e5_0,0,0.0481,0.01165,0.0267,0.0135,0.01555,0.0104,0.008,0.01,0.0179,0.0137
000000000000000000d0_0,0,0.07615,0.0587,0.0582,0.0702,0.0766,0.0538,0.1046,0.04925,0.0633,0.0561
00000000000000000487_0,0,0.11005,0.0934,0.0879,0.1227,0.0966,0.1042,0.1126,0.1039,0.1018,0.0923
0000000000000000002c_0,0,0.11425,0.1152,0.113,0.1263,0.19625,0.11615,0.12265,0.0921,0.1117,0.086
0000000000000000044c_0,0,0.042,0.0259,0.0358,0.0309,0.03215,0.02795,0.0327,0.02915,0.03705,0.0265
00000000000000000956_0,0,0.0951,0.07495,0.0791,0.0723,0.0746,0.1483,0.1488,0.0861,0.089,0.0935
00000000000000000957_0,0,0.0306,0.01755,0.0136,0.0183,0.01815,0.0889,0.0904,0.1687,0.1961999999999999,0.0935
00000000000000000432_0,0,0.0752,0.07345,0.0726,0.0638,0.0638,0.07315,0.0823,0.0795,0.0842,0.0602
0000000000000000089a_0,0,0.1058,0.0753,0.0894,0.1029,0.0647,0.09065,0.0808,0.079,0.0902,0.0803
00000000000000000430_0,0,0.0338,0.015,0.006,0.00745,0.0072,0.0066,0.0089,0.00835,0.0108,0.0518
00000000000000000110_0,0,0.09315,0.08175,0.0837,0.0936,0.11865,0.09015,0.1128,0.1024,0.1128,0.0861
000000000000000000c3_0,0,0.1056,0.09525,0.0976,0.0866,0.1013,0.0681,0.087,0.0727,0.1615,0.0873
0000000000000000045c_0,0,0.1101,0.0919,0.0782,0.08775,0.0804,0.097,0.0971,0.1121,0.1134,0.0875
00000000000000000458_0,0,0.0424,0.0084,0.0095,0.0089,0.0475,0.0084,0.0133,0.0113,0.0428,0.0082
00000000000000000096_0,0,0.117,0.1113,0.1085,0.0925,0.09175,0.1146,0.1356,0.1306,0.134,0.0939
0000000000000000043b_0,0,0.119,0.0919,0.1279,0.0927,0.0993,0.0866,0.1212,0.0959,0.1232,0.0991
000000000000000004b6_0,0,0.04905,0.0119,0.0097,0.0224,0.0252,0.0121,0.0156,0.0135,0.0136,0.014
00000000000000000434_0,0,0.0569,0.125,0.12035,0.0649,0.0584,0.0595,0.0508,0.10325,0.1113,0.0806
0000000000000000084f_0,0,0.1018,0.0891,0.0945,0.0869,0.0739,0.075,0.08055,0.09035,0.0808,0.0712
